main_position,player_id,player_name,team,team_id,minutes_played,tackle_success_rate,tackles_successful_per90,interceptions_per90,interception_success_rate,pressures_per90,chances_created_per90,pass_completion_rate,progressive_carries_per90,crosses_completed_per90,duels_won_per90,fouls_committed_per90,goals_scored_per90,goal_assists_per90,rating
Left Back,27483,Benoît Trémoulinas,Sevilla,213,2232,58.44179992562292,17.355371900826444,29.545454545454547,55.83703703703703,3.2908704883227182,27.131782945736433,41.80679195515993,35.91836734693877,47.904191616766475,15.555555555555555,10.884353741496597,0.0,50.0,31.40012143947571
Right Back,3052,Pablo Javier Zabaleta Girod,Manchester City,36,1125,75.60431387132765,76.8595041322314,36.36363636363637,53.70370370370371,39.3312101910828,0.7751937984496126,73.72238707550281,21.107871720116616,9.580838323353294,74.22222222222223,38.0952380952381,0.0,33.333333333333336,36.3741842619167
Left Back,3062,Aaron Cresswell,West Ham United,40,3493,48.30792116028263,12.8099173553719,24.431818181818183,48.34074074074074,12.791932059447984,42.24806201550387,46.58753709198816,25.422740524781336,43.11377245508982,16.0,17.006802721088434,15.151515151515152,41.66666666666667,30.74727831038233
Left Back,3065,Paul Dummett,Newcastle United,37,2165,21.253253997768688,28.51239669421487,21.022727272727273,30.725925925925928,37.314225053078566,2.3255813953488373,37.4216946917244,11.370262390670552,11.976047904191619,23.555555555555557,18.36734693877551,12.121212121212121,0.0,20.863326391977708
Left Back,3086,Ben Davies,Tottenham Hotspur,38,1314,17.404239494235778,18.595041322314046,18.749999999999996,51.185185185185176,37.20806794055201,39.922480620155035,47.70853939993406,34.9271137026239,44.91017964071857,22.22222222222222,38.775510204081634,0.0,54.16666666666667,32.524758592713766
Right Back,3205,Kyle Walker,Tottenham Hotspur,38,3093,51.33878765340276,47.52066115702478,50.0,45.58518518518519,41.932059447983015,35.65891472868217,50.18133860863831,29.50437317784256,38.32335329341318,46.666666666666664,27.210884353741495,6.0606060606060606,20.833333333333336,37.553682197210705
Right Back,3270,Danny Simpson,Leicester City,22,2818,43.566381554481225,21.900826446280988,56.81818181818182,52.94814814814816,24.840764331210192,5.038759689922481,33.03659742828886,3.615160349854226,5.389221556886228,21.333333333333332,29.25170068027211,0.0,0.0,19.081022011329843
Left Back,3306,Nathan Aké,Watford,23,1887,38.676087764968386,64.46280991735537,35.79545454545455,62.96296296296296,43.15286624203822,10.465116279069768,23.837784371909017,21.224489795918362,13.77245508982036,60.88888888888889,44.55782312925171,12.121212121212121,0.0,31.786316301582165
Right Back,3316,James Tomkins,West Ham United,40,2172,38.45295648940127,43.801652892561975,25.568181818181817,62.07407407407407,26.273885350318476,13.565891472868216,54.33564127926147,20.524781341107868,7.18562874251497,38.22222222222222,19.727891156462583,0.0,0.0,26.069861686923293
Left Back,3321,Patrick van Aanholt,Sunderland,41,3106,71.56935663815545,53.30578512396693,59.65909090909089,81.48148148148148,34.66029723991508,31.007751937984494,41.80679195515993,29.037900874635564,34.131736526946106,55.55555555555556,12.244897959183673,33.33333333333333,45.833333333333336,43.866621548693324
Right Back,3329,Cédric Ricardo Alves Soares,Southampton,25,2168,60.059501673484576,59.50413223140495,32.95454545454546,83.24444444444444,44.055201698513805,37.5968992248062,19.749423013518,29.73760932944606,61.67664670658684,64.44444444444444,26.870748299319725,0.0,33.333333333333336,45.907228944619334
Right Back,3340,Kyle Naughton,Swansea City,26,1788,32.093715135738194,33.05785123966942,38.06818181818182,87.33333333333334,44.426751592356695,34.496124031007746,56.05011539729641,38.25072886297376,32.93413173652695,37.777777777777786,35.374149659863946,0.0,62.5,38.50764868206157
Left Back,3345,Charlie Daniels,AFC Bournemouth,28,3484,28.226106359241353,24.793388429752067,17.045454545454543,62.96296296296296,25.265392781316347,33.333333333333336,59.314210352786056,52.65306122448978,43.11377245508982,26.666666666666668,4.0816326530612255,21.21212121212121,50.0,37.566097979892795
Right Back,3349,Michail Antonio,West Ham United,40,2170,65.87950911119376,42.148760330578504,63.636363636363626,54.60740740740741,41.77282377919321,32.94573643410853,12.95746785361031,37.72594752186589,41.91616766467065,40.444444444444436,32.31292517006803,100.0,50.0,45.7655635889965
Right Back,3443,Joel Ward,Crystal Palace,31,2819,53.941985868352546,37.60330578512396,46.02272727272727,58.62222222222222,39.54352441613589,14.728682170542633,43.91691394658756,29.271137026239064,24.550898203592812,39.55555555555555,43.19727891156463,18.18181818181818,12.5,32.78541476004058
Right Back,3448,Martin Kelly,Crystal Palace,31,1035,42.506507995537376,52.06611570247933,19.886363636363637,32.10370370370371,32.696390658174096,7.751937984496124,40.619848334981896,18.717201166180754,10.179640718562876,54.222222222222214,26.870748299319725,0.0,0.0,27.04302322107825
Left Back,3467,Erik Pieters,Stoke City,30,3286,40.62848642618074,55.371900826446264,52.84090909090909,44.44444444444444,53.76857749469214,17.829457364341085,45.5654467523904,33.11953352769679,22.754491017964074,56.888888888888886,55.782312925170075,0.0,8.333333333333334,34.46171730704852
Left Back,3498,Ignacio Monreal Eraso,Arsenal,1,3375,58.88806247675716,42.56198347107438,64.77272727272727,73.62962962962963,27.2823779193206,26.35658914728682,72.23870755028024,27.930029154518948,39.52095808383234,40.888888888888886,21.7687074829932,0.0,33.333333333333336,36.23512286830466
Right Back,3511,Héctor Bellerín Moruno,Arsenal,1,3374,48.84715507623653,24.793388429752067,21.022727272727273,33.33333333333333,18.524416135881104,22.48062015503876,72.40356083086057,51.72011661807579,34.73053892215569,26.666666666666668,16.3265306122449,6.0606060606060606,54.16666666666667,33.91055118900897
Left Back,3515,Alberto Moreno Pérez,Liverpool,24,2635,49.68389735961324,53.71900826446281,31.818181818181824,35.837037037037035,45.010615711252655,74.4186046511628,56.74249917573363,32.069970845481045,62.87425149700599,56.888888888888886,35.034013605442176,9.09090909090909,54.16666666666667,46.83763259585882
Left Back,3518,Leighton Baines,Everton,29,1507,58.44179992562292,31.818181818181813,39.20454545454546,50.62222222222223,57.6963906581741,46.12403100775194,54.07187603033302,39.3002915451895,42.51497005988024,31.11111111111111,6.462585034013604,33.33333333333333,20.833333333333336,43.87591782459402
Left Back,3520,Jeffrey Schlupp,Leicester City,22,1329,10.171067311268128,32.231404958677686,22.159090909090907,50.14814814814815,36.78343949044586,42.24806201550387,29.212001318826243,55.74344023323615,52.69461077844312,36.88888888888889,35.714285714285715,18.18181818181818,54.16666666666667,39.02998247001395
Right Back,3523,Craig Dawson,West Bromwich Albion,27,3577,42.30197099293418,28.099173553719005,27.84090909090909,47.80740740740741,25.84925690021232,19.767441860465116,7.3854269699967094,12.536443148688047,35.92814371257485,28.000000000000004,26.190476190476193,30.303030303030305,0.0,27.3585674176165
Left Back,3541,Chris Brunt,West Bromwich Albion,27,1890,33.65563406470808,14.87603305785124,17.045454545454543,49.37777777777777,18.524416135881104,32.55813953488372,17.738212990438544,20.93294460641399,45.50898203592815,16.0,31.63265306122449,0.0,58.333333333333336,28.23860423028315
Left Back,3576,Martin Olsson,Norwich City,56,1880,37.18854592785423,21.074380165289252,46.59090909090909,70.9037037037037,18.04670912951168,12.4031007751938,2.3409165842400292,25.014577259475217,37.125748502994014,18.666666666666668,40.13605442176871,12.121212121212121,37.5,27.070761224040723
Right Back,3590,Rhu-endly Martina,Southampton,25,1033,45.314243213090364,52.06611570247933,64.20454545454545,37.27407407407407,47.61146496815287,37.98449612403101,39.070227497527235,22.332361516034982,62.27544910179641,58.22222222222222,38.775510204081634,24.242424242424242,33.333333333333336,41.27823689615364
Left Back,3594,Danny Rose,Tottenham Hotspur,38,2250,61.100780959464494,58.67768595041321,38.06818181818182,58.34074074074075,30.20169851380043,33.333333333333336,46.88427299703264,42.33236151603498,32.93413173652695,65.33333333333333,51.70068027210885,12.121212121212121,50.0,41.52221486775399
Left Back,3602,Faustino Marcos Alberto Rojo,Manchester United,39,1411,65.21011528449239,61.157024793388416,38.63636363636364,63.94074074074073,42.88747346072187,22.093023255813957,36.861193537751426,38.89212827988337,41.91616766467065,56.888888888888886,42.17687074829932,0.0,25.0,41.27380450976887
Right Back,3608,Simon Francis,AFC Bournemouth,28,3578,56.061732986240244,53.71900826446281,48.295454545454554,61.73333333333334,20.488322717622086,32.55813953488372,57.204088361358416,55.80174927113703,47.904191616766475,54.666666666666664,26.870748299319725,0.0,41.66666666666667,42.074996877026734
Right Back,3612,Ashley Young,Manchester United,39,1026,22.926738564522125,19.83471074380165,39.77272727272727,59.25925925925925,31.422505307855626,31.3953488372093,42.0375865479723,70.14577259475217,62.87425149700599,20.0,47.95918367346939,24.242424242424242,70.83333333333334,40.265402770532354
Right Back,3650,Daryl Janmaat,Newcastle United,37,3010,44.96095202677576,46.694214876033044,25.568181818181817,56.38518518518519,32.05944798301486,27.51937984496124,40.059347181008924,34.63556851311952,49.700598802395206,44.44444444444444,28.91156462585034,15.151515151515152,45.833333333333336,38.42442418228864
Left Back,3651,Matt Targett,Southampton,25,1223,34.38081071030123,11.570247933884295,32.95454545454546,48.8,14.755838641188964,11.627906976744185,43.62017804154304,8.279883381924199,47.904191616766475,8.444444444444445,4.421768707482992,0.0,29.166666666666668,22.946850972946002
Right Back,3658,DeAndre Yedlin,Sunderland,41,1978,44.27296392711046,28.925619834710737,28.97727272727273,44.44444444444444,56.05095541401274,18.6046511627907,14.573030003297072,24.31486880466472,18.562874251497007,31.11111111111111,40.81632653061225,0.0,16.666666666666668,30.771053898813022
Left Back,3725,José Holebas,Watford,23,1029,54.14652287095575,41.73553719008264,69.88636363636364,93.82222222222222,21.921443736730364,21.317829457364343,38.57566765578636,47.46355685131195,20.359281437125752,39.11111111111111,27.210884353741495,0.0,0.0,34.31856832879021
Left Back,3812,Christian Fuchs,Leicester City,22,2818,77.59390107846784,80.99173553719005,55.11363636363637,37.34814814814815,50.955414012738856,55.81395348837209,23.211341905703943,16.093294460641395,24.550898203592812,82.22222222222223,35.714285714285715,0.0,50.0,45.706683668825164
Left Back,3957,César Azpilicueta Tanco,Chelsea,33,3401,41.98586835254742,60.74380165289255,28.409090909090907,28.577777777777776,55.307855626326976,18.992248062015506,66.99637322782726,22.9737609329446,25.149700598802394,65.33333333333333,37.75510204081633,15.151515151515152,41.66666666666667,37.307590478962396
Right Back,3973,Àngel Rangel Zaragoza,Swansea City,26,1878,87.46746002231313,48.76033057851238,55.11363636363637,60.903703703703705,21.656050955414013,21.70542635658915,63.13880646224862,33.99416909620991,28.143712574850298,54.666666666666664,23.809523809523807,0.0,0.0,36.83858509342012
Right Back,3991,Allan Romeo Nyom,Watford,23,2734,58.44179992562292,64.87603305785123,30.681818181818183,61.170370370370364,26.433121019108285,7.751937984496124,15.95779756017146,23.79008746355685,17.365269461077844,66.22222222222223,37.07482993197279,0.0,12.5,32.585182906554124
Left Back,4347,Jordan Amavi,Aston Villa,59,852,49.14466344365936,83.47107438016528,36.93181818181818,44.44444444444444,53.02547770700639,30.23255813953488,46.06000659413122,56.326530612244895,50.29940119760479,82.66666666666667,59.183673469387756,0.0,87.5,50.44872246039535
Right Back,4587,Matteo Darmian,Manchester United,39,2250,56.749721085905556,73.55371900826445,34.09090909090909,38.44444444444445,40.392781316348206,14.728682170542633,57.171117705242345,31.311953352769677,28.74251497005988,72.44444444444444,36.734693877551024,12.121212121212121,0.0,37.39148055228143
Right Back,4589,Séamus Coleman,Everton,29,2537,64.16883599851246,47.52066115702478,41.477272727272734,65.02222222222223,29.405520169851386,18.217054263565892,63.96307286515004,57.9008746355685,33.53293413173653,51.55555555555556,22.10884353741497,9.09090909090909,29.166666666666668,41.27797799572042
Right Back,4590,Nathaniel Edwin Clyne,Liverpool,24,3106,51.004090740052064,37.60330578512396,23.295454545454543,42.32592592592593,34.819532908704886,29.069767441860467,57.33597098582263,48.62973760932944,22.15568862275449,39.11111111111111,14.96598639455782,6.0606060606060606,0.0,35.20264893813787
Right Back,4724,Glen Johnson,Stoke City,30,2346,72.18296764596505,36.36363636363635,40.909090909090914,74.07407407407408,10.456475583864123,25.581395348837205,57.3689416419387,27.172011661807577,25.149700598802394,40.0,12.585034013605442,0.0,45.833333333333336,34.11997993408314
Left Back,4884,Pape N''Diaye Souaré,Crystal Palace,31,3196,10.803272592041658,0.0,43.18181818181818,44.44444444444444,7.961783439490445,27.131782945736433,34.02571711177055,33.17784256559766,33.53293413173653,0.0,25.170068027210885,0.0,8.333333333333334,19.698128355243025
Right Back,5594,Branislav Ivanović,Chelsea,33,3119,68.35254741539606,45.867768595041305,27.84090909090909,37.70370370370371,26.11464968152866,13.178294573643413,66.99637322782726,24.489795918367342,22.15568862275449,48.88888888888889,32.6530612244898,15.151515151515152,20.833333333333336,32.19337176800787
Left Back,5596,Aleksandar Kolarov,Manchester City,36,2340,48.30792116028263,16.11570247933884,30.113636363636363,65.18518518518519,14.065817409766456,54.263565891472865,48.03824596109465,41.63265306122449,52.69461077844312,17.77777777777778,25.850340136054424,33.33333333333333,45.833333333333336,37.390018841203094
Left Back,5836,Bryan Oviedo,Everton,29,1135,69.20788397173673,69.42148760330578,94.31818181818181,75.5111111111111,34.02335456475584,34.496124031007746,51.20342894823607,31.895043731778422,18.562874251497007,73.33333333333333,40.13605442176871,0.0,29.166666666666668,41.14594185120337
Right Back,6409,Adam Smith,AFC Bournemouth,28,2069,68.9847526961696,66.5289256198347,25.0,36.2074074074074,90.92356687898089,20.930232558139537,70.09561490273659,58.54227405247813,31.137724550898206,69.77777777777779,50.68027210884354,24.242424242424242,0.0,50.31784915605851
Right Back,7110,Bacary Sagna,Manchester City,36,2525,54.14652287095575,31.404958677685947,19.318181818181817,44.44444444444444,20.594479830148625,38.75968992248062,68.51302340916585,17.49271137026239,46.706586826347305,32.88888888888889,18.707482993197278,0.0,41.66666666666667,32.90367687070889
Right Back,9533,Leandro Bacuna,Aston Villa,59,2544,47.731498698400905,34.297520661157016,17.045454545454543,26.56296296296296,44.798301486199584,20.930232558139537,44.37850313221236,29.037900874635564,25.149700598802394,36.00000000000001,42.51700680272109,9.09090909090909,0.0,30.428292835274956
Left Back,9627,Neil Taylor,Swansea City,26,3105,39.8475269616958,14.87603305785124,16.477272727272727,28.725925925925928,20.06369426751593,15.503875968992247,58.391031981536464,33.236151603498534,27.54491017964072,18.22222222222222,32.99319727891156,0.0,8.333333333333334,24.053935165817215
Right Back,9642,Alan Hutton,Aston Villa,59,2459,52.24990702863519,38.84297520661156,30.681818181818183,71.11111111111111,30.785562632696394,31.3953488372093,33.696010550609955,45.072886297376094,45.50898203592815,39.11111111111111,31.63265306122449,0.0,12.5,37.74637390362416
Right Back,10503,Billy Jones,Sunderland,41,2162,50.18594272963928,64.87603305785123,26.136363636363637,71.73333333333333,82.00636942675159,13.565891472868216,27.23376195186286,11.661807580174925,9.580838323353294,62.66666666666666,49.65986394557824,12.121212121212121,0.0,37.60369619863264
Left Back,10967,Robert Brady,Norwich City,56,3203,52.56600966902195,49.999999999999986,38.06818181818182,59.25925925925925,45.75371549893843,55.03875968992248,7.41839762611276,46.005830903790084,44.91017964071857,52.444444444444436,43.19727891156463,24.242424242424242,20.833333333333336,44.81675820099262
Left Back,12325,Abdul Rahman Baba,Chelsea,33,1034,55.33655634064708,88.01652892561982,69.31818181818181,59.25925925925925,75.26539278131634,7.751937984496124,63.69930761622159,39.067055393585996,25.74850299401198,85.33333333333333,47.61904761904762,0.0,33.333333333333336,46.216403986442444
Left Back,20045,Ryan Bertrand,Southampton,25,3015,36.2774265526218,18.18181818181818,46.02272727272727,64.93333333333334,25.95541401273886,22.868217054263567,46.88427299703264,29.679300291545186,28.143712574850298,20.444444444444443,30.952380952380953,6.0606060606060606,33.333333333333336,28.69642270609612
Left Back,20302,Gaël Clichy,Manchester City,36,1124,58.44179992562292,47.10743801652891,95.45454545454545,47.970370370370375,33.86411889596603,31.782945736434108,59.54500494559842,58.483965014577244,47.904191616766475,49.33333333333334,21.7687074829932,0.0,33.333333333333336,42.930561359659144
Right Back,21254,Carl Jenkinson,West Ham United,40,1226,36.64931201190034,29.752066115702476,15.909090909090907,62.96296296296296,21.656050955414013,14.728682170542633,39.66369930761623,33.469387755102034,34.73053892215569,24.444444444444446,31.97278911564626,42.42424242424242,0.0,29.4824376808448
Left Back,27146,Aly Cissokho,Aston Villa,59,1685,36.64931201190034,18.18181818181818,43.75,55.022222222222226,25.371549893842893,16.279069767441857,30.959446092977256,35.27696793002915,47.904191616766475,14.666666666666664,23.46938775510204,0.0,0.0,28.13393431230526
Left Back,30702,Brendan Joel Zibusiso Galloway,Everton,29,1317,58.44179992562292,72.31404958677685,26.136363636363637,78.11851851851853,54.830148619957555,10.852713178294575,64.32575008242665,22.507288629737605,7.784431137724551,61.77777777777778,22.448979591836732,0.0,25.0,38.1354672150692
Left Back,40118,Ikechi Anya,Watford,23,1601,51.46894756415025,8.264462809917354,30.113636363636363,66.22222222222223,26.64543524416136,32.17054263565892,36.03692713485,52.128279883381914,33.53293413173653,8.444444444444445,0.0,0.0,20.833333333333336,34.143745065004154
Left Wing Back,3416,Gabriel Moisés Antunes da Silva,Genoa,233,2057,39.8475269616958,39.669421487603294,27.272727272727277,16.22222222222222,51.22080679405521,16.279069767441857,19.551599076821653,33.70262390670553,33.53293413173653,43.111111111111114,52.38095238095239,0.0,33.333333333333336,32.85778003542296
Right Wing Back,3660,Davide Zappacosta,Torino,241,1217,25.17664559315731,11.983471074380162,20.454545454545453,44.44444444444444,83.65180467091295,37.5968992248062,38.377843719090016,67.46355685131195,88.02395209580838,11.555555555555557,62.244897959183675,21.21212121212121,29.166666666666668,46.13069974718792
Left Wing Back,3964,Marcos Alonso Mendoza,Fiorentina,239,2437,36.2774265526218,25.6198347107438,35.22727272727273,61.170370370370364,56.68789808917197,56.201550387596896,64.12792614573031,63.49854227405247,70.65868263473054,26.222222222222218,42.17687074829932,33.33333333333333,58.333333333333336,48.77795428417488
