main_position,player_id,player_name,team,team_id,minutes_played,progressive_passes_per90,chances_created_per90,dribbles_completed_per90,pass_completion_rate,duels_won_per90,pressures_per90,goals_scored_per90,goal_assists_per90,dribble_success_rate,duel_success_rate,ball_recoveries_per90,rating
Right Center Midfield,3473,James Philip Milner,Liverpool,24,2637,54.26183844011141,56.34674922600619,14.728682170542637,45.9291485394655,26.66666666666667,33.653527658164954,22.666666666666668,82.22222222222221,48.95444361463778,42.00371057513914,41.95804195804195,44.16400626631871
Left Center Midfield,3490,James Morrison,West Bromwich Albion,27,1609,11.810584958217264,22.910216718266252,25.064599483204137,70.9446861404599,22.22222222222222,8.446505465385892,21.333333333333336,24.444444444444443,57.057505601194926,51.280148423005556,44.05594405594405,30.296453063036015
Left Center Midfield,3493,Emre Can,Liverpool,24,2636,46.85236768802228,19.19504643962848,31.52454780361758,72.34307022995648,80.0,26.233852268963243,4.0,0.0,84.35399551904406,83.72912801484227,47.90209790209789,48.3120863360195
Right Center Midfield,3532,Jordan Brian Henderson,Liverpool,24,1411,69.41504178272979,27.244582043343645,16.020671834625325,60.00621504039776,42.22222222222222,26.001987413050685,16.0,26.666666666666668,55.17176997759521,43.32096474953618,47.90209790209789,43.29526397730873
Right Center Midfield,3583,Ashley Westwood,Aston Villa,59,2917,48.24512534818941,31.888544891640862,9.043927648578812,68.08576755748909,30.666666666666664,28.58562437893343,8.0,13.333333333333334,63.965646004480945,68.7012987012987,30.24475524475524,41.35445656107548
Left Center Midfield,3595,Manuel Lanzini,West Ham United,40,2168,18.66295264623955,35.60371517027863,50.904392764857874,88.65755127408327,20.444444444444446,0.0,26.666666666666668,17.77777777777778,64.0403286034354,59.51762523191094,54.720279720279706,36.883158408051926
Left Center Midfield,3605,Sung-Yeung Ki,Swansea City,26,1977,31.92200557103064,22.910216718266252,11.627906976744185,100.0,8.0,11.825107651540247,12.0,8.88888888888889,74.68259895444362,29.92578849721706,43.00699300699299,33.617367507591155
Left Center Midfield,3662,Danny Drinkwater,Leicester City,22,3299,65.73816155988857,26.31578947368421,16.020671834625325,56.774394033561194,65.77777777777779,32.16296787015568,6.666666666666667,42.22222222222222,66.9716206123973,66.99443413729126,75.17482517482517,48.717370142148944
Right Center Midfield,3684,Cheikhou Kouyaté,West Ham United,40,3209,3.0083565459610027,5.572755417956656,19.379844961240313,66.56308266003728,34.66666666666667,12.123219609142101,18.666666666666668,11.111111111111112,86.09036594473487,34.87940630797773,39.86013986013985,27.65508765891022
Right Center Midfield,3721,Etienne Capoue,Watford,23,3108,32.86908077994429,12.383900928792569,36.69250645994832,62.430080795525164,62.22222222222222,22.093408413381923,0.0,4.444444444444445,61.725168035847645,71.13172541743971,59.96503496503496,38.13891180574923
Left Center Midfield,3874,Mark Noble,West Ham United,40,3493,42.00557103064066,29.411764705882348,14.987080103359174,84.9285270354257,34.66666666666667,13.216296787015569,24.0,22.222222222222225,84.01792382374906,41.89239332096474,49.475524475524466,41.61023067402467
Right Center Midfield,4022,Darren Fletcher,West Bromwich Albion,27,3577,39.72144846796656,11.145510835913312,21.70542635658915,55.686761963952755,7.5555555555555545,7.353428287512425,2.666666666666667,11.111111111111112,62.005227781926806,49.220779220779214,64.33566433566433,29.360480702440167
Right Center Midfield,4429,Yann Gérard M''Vila,Sunderland,41,3388,50.36211699164345,29.721362229102162,15.503875968992247,61.74642635177129,61.33333333333334,17.191122888373638,2.666666666666667,15.555555555555555,90.88872292755788,63.58070500927643,54.370629370629366,45.014596304225115
Right Center Midfield,4751,Michael Carrick,Manchester United,39,2068,81.72701949860723,2.476780185758514,4.134366925064599,87.91174642635177,22.22222222222222,0.5299768135144093,0.0,0.0,62.22927557879013,41.05751391465676,26.04895104895104,38.25679326474802
Left Center Midfield,4817,Joe Ledley,Crystal Palace,31,1035,0.0,0.0,5.167958656330749,71.1932877563704,30.222222222222218,21.96091421000332,10.666666666666668,0.0,77.80059746079164,66.73469387755101,1.7482517482517417,27.8495694855104
Left Center Midfield,5540,Valon Behrami,Watford,23,1313,2.5069637883008316,2.476780185758514,1.550387596899225,64.4188937228092,86.22222222222223,60.284862537264,0.0,13.333333333333334,15.552651232262878,47.60667903525045,41.78321678321678,28.963707202372486
Right Center Midfield,7153,Jordan Veretout,Aston Villa,59,1982,35.04178272980501,47.987616099071204,9.043927648578812,61.99502796768178,14.222222222222221,25.538257701225575,0.0,48.888888888888886,100.0,41.72541743970316,36.36363636363635,40.251541918301555
