main_position,player_id,player_name,team,team_id,minutes_played,interceptions_per90,ball_recoveries_per90,pressures_per90,chances_created_per90,progressive_passes_per90,duels_won_per90,fouls_committed_per90,goals_scored_per90,goal_assists_per90,duel_success_rate,rating
Left Defensive Midfield,3633,Gareth Barry,Everton,29,3011,26.213592233009702,37.15753424657534,45.05643340857788,37.704918032786885,69.60329726944873,54.0,43.18181818181818,0.0,0.0,49.757771497779565,42.06951846646382
Left Defensive Midfield,3636,Charlie Adam,Stoke City,30,1127,14.563106796116502,57.87671232876712,30.067720090293452,29.918032786885245,53.529108706852135,11.200000000000001,84.46969696969695,33.333333333333336,16.27906976744186,23.29430763019782,32.50729322929026
Right Defensive Midfield,3665,Andrew Philip King,Leicester City,22,851,12.135922330097086,50.0,46.36568848758465,36.47540983606557,37.24884080370943,22.799999999999997,10.606060606060602,100.0,23.255813953488374,39.220831651190956,41.81944682144582
Center Defensive Midfield,3897,Pedro Mba Obiang Avomo,West Ham United,40,1046,41.74757281553398,39.897260273972606,67.2234762979684,7.786885245901639,20.71097372488408,62.4,53.40909090909091,0.0,18.6046511627907,39.72547436415018,39.716988209858926
Left Defensive Midfield,3961,N''Golo Kanté,Leicester City,22,3106,100.0,82.53424657534248,74.6726862302483,29.508196721311474,13.343637300360642,90.8,37.878787878787875,9.523809523809526,18.6046511627907,44.22688736374646,64.07787547039868
Left Defensive Midfield,3967,Claudio Ariel Yacob,West Bromwich Albion,27,3102,43.689320388349515,42.97945205479452,57.020316027088036,8.196721311475411,14.734672849046884,62.000000000000014,54.54545454545454,0.0,4.651162790697675,52.24061364553897,39.692263926607936
Left Defensive Midfield,4346,Gilbert Gianelli Imbula Wanga,Stoke City,30,1316,24.75728155339806,49.31506849315068,30.8803611738149,28.278688524590162,35.18804739824833,11.600000000000001,40.9090909090909,61.904761904761905,0.0,97.31530076705693,41.496647326485174
Center Defensive Midfield,4631,Leon Britton,Swansea City,26,1782,69.90291262135922,36.81506849315069,30.699774266365694,5.7377049180327875,13.034518289541474,24.8,7.196969696969695,0.0,0.0,37.70690351231328,35.22148091892915
Right Defensive Midfield,5475,John Michael Nchekwube Obinna,Chelsea,33,1799,40.29126213592233,43.66438356164383,45.146726862302486,7.786885245901639,20.86553323029366,40.400000000000006,56.43939393939392,0.0,11.627906976744187,39.806217198223656,34.61246893253469
Left Defensive Midfield,5489,Mile Jedinak,Crystal Palace,31,1505,66.99029126213593,35.61643835616439,62.52821670428893,19.262295081967213,40.236991241628026,48.00000000000001,76.13636363636363,0.0,0.0,32.47880500605571,41.74205481734352
