main_position,player_id,player_name,team,team_id,minutes_played,xg_total_per90,goals_minus_xg_per90,goals_scored_per90,shot_accuracy,chances_created_per90,dribble_success_rate,dribbles_completed_per90,goal_assists_per90,penalties_won_per90,key_passes_per90,progressive_carries_rate,headed_shot_duel_rate,fouls_won_per90,progressive_carries_per90,pass_completion_rate,ball_recoveries_per90,pressures_per90,rating
Center Forward,3337,Jermain Defoe,Sunderland,41,2638,42.04545454545455,54.0983606557377,45.945945945945944,60.10867828032603,19.46902654867257,57.24307692307692,23.448275862068968,7.317073170731707,16.666666666666664,19.902912621359224,46.21603413429148,33.33,18.66028708133971,24.250936329588015,64.95340299350467,32.758620689655174,26.047769265434876,38.52156368073035
Center Forward,3346,Joshua King,AFC Bournemouth,28,2259,17.045454545454547,44.26229508196721,20.72072072072072,41.84113792552341,31.41592920353982,68.11076923076924,78.27586206896552,17.073170731707318,0.0,30.58252427184466,83.35953289916911,50.0,16.267942583732054,58.98876404494383,68.08811070319119,59.60591133004927,78.9995493465525,36.95023304640034
Center Forward,3380,Christian Benteke Liolo,Liverpool,24,1323,75.0,21.311475409836063,54.95495495495495,19.13057375739172,69.02654867256638,64.46769230769232,25.517241379310345,48.78048780487806,33.33333333333333,66.01941747572818,33.46058836739276,50.0,30.62200956937799,20.692883895131086,54.84326461451568,40.88669950738916,22.217214961694452,39.8719072676184
Right Center Forward,3454,Troy Deeney,Watford,23,3389,27.27272727272727,47.540983606557376,30.630630630630627,41.9050663257152,56.63716814159293,71.38461538461539,26.55172413793104,43.90243902439025,11.111111111111112,53.39805825242719,46.91219402649899,65.0,15.311004784688992,25.374531835205993,31.177633436882235,66.50246305418719,45.425867507886444,38.25385456424629
Center Forward,3529,Daniel Andre Sturridge,Liverpool,24,1029,40.90909090909091,85.24590163934425,62.16216216216215,47.59469394278408,14.159292035398233,66.52307692307691,60.0,19.51219512195122,0.0,11.165048543689322,19.155625421064453,33.33,16.028708133971286,33.052434456928836,73.96215758260378,32.51231527093596,11.536728255971159,48.35242244125705
Center Forward,3538,Wayne Mark Rooney,Manchester United,39,2528,18.18181818181818,49.18032786885246,25.225225225225223,31.69250439507751,53.982300884955755,73.84615384615385,36.55172413793103,41.463414634146346,0.0,50.4854368932039,37.57017740848867,40.0,5.502392344497607,56.17977528089888,84.18525840158149,66.00985221674877,18.56692203695359,40.06383285091151
Center Forward,3598,Wilfried Guemiand Bony,Manchester City,36,1217,51.13636363636363,3.2786885245901662,26.12612612612612,28.096531884289593,26.991150442477885,73.84615384615385,37.931034482758626,53.65853658536586,0.0,18.93203883495146,39.23197844150011,68.0,27.51196172248803,16.47940074906367,82.32137814176788,52.463054187192114,5.182514646237045,29.48824289708235
Center Forward,3603,Mame Biram Diouf,Stoke City,30,1128,34.090909090909086,45.90163934426229,35.13513513513513,53.827712961483144,19.026548672566374,70.32615384615384,32.758620689655174,17.073170731707318,0.0,16.990291262135926,54.075903885021326,50.0,40.191387559808604,26.12359550561798,64.75571872352445,62.80788177339902,48.7607030193781,38.56886529485745
Center Forward,3604,Olivier Giroud,Arsenal,1,2438,45.45454545454545,62.29508196721311,53.15315315315314,43.838900431516706,43.36283185840708,59.42153846153846,17.586206896551726,53.65853658536586,0.0,36.407766990291265,60.004491354143276,57.78,18.421052631578945,17.883895131086145,53.31827167466816,12.315270935960593,43.39792699414151,44.34038540068727
Center Forward,3616,Callum Wilson,AFC Bournemouth,28,852,29.545454545454547,73.77049180327869,46.846846846846844,53.827712961483144,28.31858407079646,41.02153846153846,40.0,0.0,0.0,31.067961165048548,90.90500785986976,100.0,32.29665071770334,41.19850187265918,64.19090652358092,45.07389162561577,42.04596665164488,48.23990182385682
