main_position,player_id,player_name,team,team_id,minutes_played,dribbles_completed_per90,dribble_success_rate,crosses_completed_per90,key_passes_per90,ball_recoveries_per90,pressures_per90,fouls_won_per90,goal_assists_per90,progressive_carries_per90,goals_scored_per90,goals_minus_xg_per90,progressive_carries_rate,chances_created_per90
Left Midfield,9485,Craig Gardner,West Bromwich Albion,27,1885,3.7037037037037033,29.844497607655494,31.84357541899441,28.21316614420063,39.44805194805195,69.57439324657054,20.190023752969125,24.13793103448276,7.2200113700966435,14.893617021276597,22.72727272727273,26.880641925777326,30.08595988538682
Left Wing,11117,Scott Sinclair,Aston Villa,59,1802,26.296296296296294,54.42583732057415,2.2346368715083798,0.0,17.532467532467532,19.76785086176574,16.864608076009503,0.0,24.843661171119955,9.574468085106384,21.21212121212121,44.307923771313945,0.0
Right Wing,16457,Jeremain Lens,Sunderland,41,1319,38.7037037037037,54.20653907496011,23.463687150837988,23.824451410658305,35.06493506493506,60.569820612029545,44.65558194774347,34.48275862068966,45.08243320068221,21.276595744680854,39.39393939393939,50.702106318956865,27.50716332378223
Left Wing,20039,Anthony Martial,Manchester United,39,2719,40.55555555555555,55.32296650717703,30.167597765363123,26.959247648902824,37.98701298701299,27.084066127330285,39.90498812351544,15.517241379310345,48.66401364411597,38.297872340425535,50.0,41.59979939819457,27.50716332378223
Left Midfield,22594,Matt Jarvis,Norwich City,56,1224,8.148148148148149,67.92264752791068,46.368715083798875,26.01880877742947,6.6558441558441555,26.94336967991558,3.562945368171021,12.06896551724138,22.797043774872087,7.446808510638299,30.303030303030305,76.57973921765296,26.074498567335247
Left Wing,26696,Arouna Koné,Everton,29,1502,32.407407407407405,63.71610845295056,10.055865921787708,10.65830721003135,41.720779220779214,21.7024270137179,15.201900237529694,29.31034482758621,30.926662876634452,30.851063829787233,33.33333333333333,20.436308926780335,14.899713467048711
Right Wing,42902,Adam Johnson,Sunderland,41,1033,18.333333333333332,64.59330143540669,35.754189944134076,62.06896551724138,71.59090909090908,25.747449876890606,22.802850356294535,74.13793103448276,37.23706651506538,18.085106382978726,33.33333333333333,5.516549648946829,69.34097421203438
Right Midfield,43081,Almen Abdi,Watford,23,2357,6.481481481481481,90.70972886762361,20.670391061452513,29.780564263322884,46.5909090909091,51.459725641927534,14.251781472684089,0.0,10.233086981239339,7.446808510638299,27.272727272727277,17.577733199598793,27.22063037249283
Left Wing,3145,Keita Baldé Diao,Lazio,236,1403,48.14814814814814,51.495215311004785,75.97765363128491,70.21943573667713,47.88961038961038,37.706647907140336,62.70783847980997,10.344827586206897,100.0,26.595744680851062,16.666666666666668,77.05616850551654,66.189111747851
Right Wing,3531,Mohamed Salah,AS Roma,229,2990,22.037037037037035,42.94258373205741,25.69832402234637,43.88714733542321,34.25324675324676,31.727048892015475,23.27790973871734,31.03448275862069,36.83911313246163,44.68085106382979,54.54545454545454,45.411233701103306,45.27220630372493
Left Midfield,5587,Adem Ljajić,Inter Milan,238,1497,28.148148148148145,53.42902711323762,34.07821229050279,89.96865203761756,36.038961038961034,27.541329581428066,21.14014251781473,31.03448275862069,59.4656054576464,19.148936170212767,28.787878787878785,34.65396188565697,87.39255014326648
Right Midfield,5683,Keisuke Honda,AC Milan,243,2158,20.555555555555554,64.29425837320574,29.60893854748603,42.31974921630094,32.62987012987013,52.268730214562076,26.365795724465563,20.689655172413794,34.62194428652644,4.255319148936171,15.151515151515152,33.9518555667001,42.12034383954155
Right Wing,6658,Cristian Tello Herrera,Fiorentina,239,1216,39.62962962962962,56.439393939393945,75.41899441340782,35.73667711598746,20.12987012987013,36.86246922265213,19.47743467933492,50.0,46.21944286526435,14.893617021276597,21.21212121212121,46.91574724172518,40.97421203438395
Left Wing,6822,Carlos Joaquín Correa,Sampdoria,234,1310,41.666666666666664,50.83732057416268,4.4692737430167595,36.99059561128527,54.54545454545454,63.98170946183609,59.857482185273156,10.344827586206897,63.50198976691301,21.276595744680854,19.696969696969695,52.63289869608827,35.81661891117478
Left Wing,6859,Nicola Sansone,Sassuolo,232,2623,25.74074074074074,43.91945773524721,16.201117318435756,40.125391849529784,25.487012987012992,49.41962715441435,45.13064133016628,22.413793103448278,24.559408754974417,25.53191489361702,36.36363636363637,21.013039117352044,40.68767908309456
