main_position,player_id,player_name,team,team_id,minutes_played,saves_per90,save_percentage,xg_against_minus_goals_conceded_per90,keeper_sweeper_per90,penalty_save_percentage,aerial_dominance_index_per90,pass_completion_rate,rating,rating_normalizado,tackle_success_rate,tackles_successful_per90,interceptions_per90,interception_success_rate,pressures_per90,chances_created_per90,progressive_carries_per90,crosses_completed_per90,duels_won_per90,fouls_committed_per90,goals_scored_per90,goal_assists_per90,clearances_per90,blocks_per90,times_dribbled_past_per90,progressive_passes_per90,duel_success_rate,ball_recoveries_per90,dribbles_completed_per90,dribble_success_rate,key_passes_per90,shots_total_per90,xg_total_per90,fouls_won_per90,goals_minus_xg_per90,progressive_carries_rate,shot_accuracy,penalties_won_per90,headed_shot_duel_rate
Left Wing Back,7479,Cristian Molinaro,Torino,241,2161,,,,,,,50.37916254533465,35.09852378515734,60.08818173073756,29.880996653030873,30.578512396694208,32.95454545454546,46.82962962962963,47.823779193205944,32.94573643410853,43.73177842565597,47.305389221556894,29.333333333333332,41.15646258503402,12.121212121212121,0.0,,,,,,,,,,,,,,,,,
Left Back,7695,Samuel Souprayen,Hellas Verona,226,1685,,,,,,,53.11572700296736,29.384663927347013,54.94627581185876,28.914094458906654,20.661157024793386,13.636363636363635,38.74074074074073,39.01273885350318,26.35658914728682,48.688046647230316,31.736526946107784,21.777777777777775,52.38095238095239,0.0,0.0,,,,,,,,,,,,,,,,,
Right Back,7704,Alex Ferrari,Bologna,240,1216,,,,,,,58.72073854269701,44.65557485802583,68.6885777330017,55.63406470806992,82.23140495867767,92.04545454545455,62.459259259259255,89.27813163481953,8.914728682170542,46.76384839650145,8.383233532934133,80.88888888888887,67.34693877551021,0.0,0.0,,,,,,,,,,,,,,,,,
Right Wing Back,7777,Federico Bernardeschi,Fiorentina,239,2340,,,,,,,55.32476096274317,44.98065942853958,68.98112153331489,59.76199330606175,14.46280991735537,27.84090909090909,81.48148148148148,68.78980891719746,55.81395348837209,48.57142857142856,25.149700598802394,16.0,45.57823129251701,21.21212121212121,62.5,,,,,,,,,,,,,,,,,
Left Back,7778,Ştefan Daniel Radu,Lazio,236,1224,,,,,,,69.5351137487636,28.706766249679408,54.33623528445089,26.571216065451843,5.785123966942148,40.909090909090914,72.22222222222221,21.709129511677283,40.310077519379846,51.54518950437317,21.55688622754491,4.888888888888888,39.45578231292517,0.0,29.166666666666668,,,,,,,,,,,,,,,,,
Left Back,7785,Senad Lulić,Lazio,236,2619,,,,,,,49.225189581272694,50.58053967401714,74.02045713057751,53.12383785793976,55.371900826446264,47.72727272727273,91.57037037037037,61.518046709129514,45.348837209302324,56.96793002915451,34.73053892215569,61.77777777777778,52.721088435374156,30.303030303030305,41.66666666666667,,,,,,,,,,,,,,,,,
Right Wing Back,7796,Silvan Widmer,Udinese,230,1963,,,,,,,14.968677876689767,41.00633254704417,65.40462238491754,49.628114540721455,27.272727272727266,31.818181818181824,85.6,71.33757961783441,27.51937984496124,37.95918367346938,40.718562874251504,27.555555555555557,48.9795918367347,0.0,37.5,,,,,,,,,,,,,,,,,
Left Wing Back,8191,Ali Adnan Kadhim Al Tameemi,Udinese,230,1958,,,,,,,12.133201450708892,51.25740039296143,74.62956449820727,82.11230940870213,78.51239669421487,55.11363636363637,80.28148148148148,51.326963906581746,32.94573643410853,40.75801749271137,62.87425149700599,80.44444444444446,55.442176870748305,12.121212121212121,16.666666666666668,,,,,,,,,,,,,,,,,
Right Back,8443,Dušan Basta,Lazio,236,1971,,,,,,,60.23738872403565,35.000533261915045,60.0,79.69505392339161,34.71074380165288,36.93181818181818,69.14074074074075,34.28874734607219,15.11627906976744,43.84839650145772,13.17365269461078,39.55555555555555,33.33333333333333,0.0,0.0,,,,,,,,,,,,,,,,,
Left Back,8645,Massimo Gobbi,Chievo,231,2898,,,,,,,46.06000659413122,32.836754945389714,58.052814592980425,50.873930829304584,29.752066115702476,19.886363636363637,37.27407407407407,44.32059447983014,17.829457364341085,44.1399416909621,31.137724550898206,30.22222222222222,48.29931972789116,0.0,12.5,,,,,,,,,,,,,,,,,
Right Back,8657,Andrea Conti,Atalanta,228,938,,,,,,,47.31289152654141,29.77063533582902,55.293611714239844,13.27631089624396,26.8595041322314,76.70454545454545,59.25925925925925,40.021231422505316,12.4031007751938,29.562682215743436,22.754491017964074,22.666666666666668,36.734693877551024,57.57575757575757,37.5,,,,,,,,,,,,,,,,,
Left Back,8661,Daniel Pavlovic,Frosinone,291,2057,,,,,,,12.363996043521267,40.41995631397472,64.87694206048883,56.749721085905556,34.297520661157016,25.0,38.74074074074073,47.505307855626334,75.5813953488372,11.253644314868803,52.09580838323353,27.555555555555557,52.38095238095239,0.0,87.5,,,,,,,,,,,,,,,,,
Left Back,8874,Luca Antonelli,AC Milan,243,2340,,,,,,,60.534124629080125,43.16862858852799,67.35047389173673,55.16920788397175,71.48760330578511,23.863636363636363,41.7037037037037,46.496815286624205,18.217054263565892,45.65597667638484,27.54491017964072,70.66666666666667,15.30612244897959,33.33333333333333,12.5,,,,,,,,,,,,,,,,,
Left Back,8876,Faouzi Ghoulam,Napoli,227,2977,,,,,,,70.39235080778111,37.78381837680096,62.50467994705834,62.16065451840833,26.033057851239672,34.65909090909091,62.459259259259255,6.4755838641189,33.720930232558146,68.10495626822156,37.724550898203596,28.888888888888893,19.047619047619047,0.0,37.5,,,,,,,,,,,,,,,,,
Left Back,10032,Achraf Lazaar,Palermo,2256,2427,,,,,,,21.167161226508412,45.43641582463812,69.39125698797828,60.189661584232056,47.10743801652891,39.20454545454546,74.07407407407408,56.63481953290871,23.255813953488374,63.556851311953345,41.91616766467065,49.77777777777778,44.89795918367348,9.09090909090909,12.5,,,,,,,,,,,,,,,,,
Left Back,11183,Alex Nicolao Telles,Inter Milan,238,1681,,,,,,,49.12627761292452,40.38566756512979,64.8460855948029,46.65303086649312,35.95041322314049,61.93181818181818,63.49629629629629,30.626326963906582,49.224806201550386,62.2740524781341,44.31137724550898,38.66666666666667,48.9795918367347,0.0,20.833333333333336,,,,,,,,,,,,,,,,,
Right Back,11342,Eros Pisano,Hellas Verona,226,3091,,,,,,,25.321463897131576,29.979844571677905,55.48187923127127,32.22387504648568,21.074380165289252,30.113636363636363,52.23703703703704,13.959660297239921,24.418604651162788,39.41690962099125,53.89221556886228,20.888888888888886,39.1156462585034,42.42424242424242,0.0,,,,,,,,,,,,,,,,,
Left Back,11516,Manuel Pasqual,Fiorentina,239,1118,,,,,,,56.445763270689106,42.0280563840876,66.32407227971537,48.30792116028263,27.272727272727266,18.181818181818183,44.44444444444444,37.63269639065817,69.37984496124031,35.33527696793002,62.27544910179641,28.000000000000004,32.6530612244898,0.0,66.66666666666667,,,,,,,,,,,,,,,,,
Left Back,11722,Boukary Dramé,Atalanta,228,2342,,,,,,,60.5011539729641,29.806959401631424,55.3262997628786,44.27296392711046,22.314049586776857,53.97727272727273,84.65185185185186,27.2823779193206,21.317829457364343,31.486880466472293,27.54491017964072,26.222222222222218,25.850340136054424,0.0,0.0,,,,,,,,,,,,,,,,,
Right Back,19299,Maicon Douglas Sisenando,AS Roma,229,1118,,,,,,,66.0402242004616,48.207314933681516,71.88479076093755,100.0,33.88429752066116,13.636363636363635,44.44444444444444,16.666666666666668,31.782945736434108,75.27696793002914,52.69461077844312,38.66666666666667,27.210884353741495,24.242424242424242,66.66666666666667,,,,,,,,,,,,,,,,,
Left Wing Back,20008,Patrice Evra,Juventus,224,2239,,,,,,,72.83217936036928,37.657238929728216,62.39077102658979,59.66902194124209,48.76033057851238,20.454545454545453,41.22962962962963,17.462845010615716,39.53488372093023,41.39941690962098,23.952095808383238,49.33333333333334,32.6530612244898,24.242424242424242,50.0,,,,,,,,,,,,,,,,,
Right Back,23324,Nicolas Sebastian Frey,Chievo,231,1589,,,,,,,41.18034948895487,13.150646940431809,40.33727417208329,0.0,1.2396694214876043,14.204545454545455,22.651851851851852,28.343949044585987,6.2015503875969,13.29446064139941,13.17365269461078,1.3333333333333344,27.210884353741495,0.0,0.0,,,,,,,,,,,,,,,,,
Right Back,24061,Aljaž Struna,Palermo,2256,2053,,,,,,,47.57665677546986,28.849205502931987,54.464416454029106,47.9360357010041,32.64462809917355,15.340909090909088,49.37777777777777,44.85138004246285,11.240310077519378,27.638483965014576,20.958083832335326,33.33333333333333,61.564625850340136,12.121212121212121,0.0,,,,,,,,,,,,,,,,,
Right Wing Back,25116,Edenílson Andrade dos Santos,Udinese,230,2428,,,,,,,37.45466534784042,30.881476523003833,56.29325836596179,27.166232800297514,16.528925619834705,50.0,55.97037037037037,51.27388535031847,31.782945736434108,32.41982507288629,35.32934131736527,18.22222222222222,30.952380952380953,0.0,0.0,,,,,,,,,,,,,,,,,
Left Wing Back,25505,José Rodolfo Pires Ribeiro,Sampdoria,234,1501,,,,,,,53.80811078140457,33.19745064655382,58.377404871160714,24.35849758274452,11.983471074380162,63.06818181818181,69.14074074074075,34.819532908704886,34.496124031007746,45.072886297376094,53.293413173652695,12.444444444444445,26.870748299319725,0.0,20.833333333333336,,,,,,,,,,,,,,,,,
Right Back,26683,Abdoulay Konko,Lazio,236,1599,,,,,,,53.577316188592164,38.57624758071171,63.217787463741914,32.40981777612495,40.9090909090909,52.84090909090909,65.61481481481482,67.9936305732484,12.790697674418606,71.19533527696792,23.353293413173652,38.66666666666667,67.00680272108843,0.0,0.0,,,,,,,,,,,,,,,,,
Left Wing Back,28289,Gastón Alexis Silva Perdomo,Torino,241,939,,,,,,,58.48994394988464,42.650414478243015,66.88413270255293,62.29081442915583,58.67768595041321,33.52272727272727,35.18518518518518,61.30573248407644,38.37209302325581,39.59183673469387,22.754491017964074,60.88888888888889,49.65986394557824,0.0,37.5,,,,,,,,,,,,,,,,,
Right Wing Back,30769,Andrea Rispoli,Palermo,2256,1497,,,,,,,29.442795911638665,39.553633354367456,64.09733750865925,48.30792116028263,17.355371900826444,43.18181818181818,53.333333333333336,23.513800424628446,37.2093023255814,50.14577259475218,64.67065868263474,18.22222222222222,37.41496598639456,0.0,100.0,,,,,,,,,,,,,,,,,
Left Back,31231,Davide Brivio,Atalanta,228,934,,,,,,,49.68677876689749,30.799117868195218,56.21914376301918,48.30792116028263,11.157024793388427,11.363636363636365,44.44444444444444,35.72186836518047,19.767441860465116,53.29446064139941,28.74251497005988,10.222222222222221,20.74829931972789,0.0,0.0,,,,,,,,,,,,,,,,,
Right Wing Back,31268,Michel Morganella,Palermo,2256,1025,,,,,,,28.12396966699638,27.2686474573197,53.04207131919764,19.635552249907036,20.24793388429752,19.886363636363637,44.44444444444444,63.163481953290876,14.34108527131783,31.311953352769677,15.568862275449103,20.0,75.17006802721087,0.0,33.333333333333336,,,,,,,,,,,,,,,,,
Right Back,31721,Matteo Ciofani,Frosinone,291,1295,,,,,,,31.618859215298396,26.225994604679347,52.10378739069019,58.44179992562292,30.578512396694208,22.727272727272727,44.44444444444444,25.000000000000007,2.713178294573644,20.64139941690962,20.359281437125752,32.0,39.45578231292517,0.0,25.0,,,,,,,,,,,,,,,,,
Left Back,32525,Fabrizio Poli,Carpi,1683,939,,,,,,,27.695351137487656,20.6869321840262,47.11918179052585,50.18594272963928,26.8595041322314,22.159090909090907,37.70370370370371,37.898089171974526,5.038759689922481,6.005830903790087,5.389221556886228,31.11111111111111,65.98639455782313,0.0,0.0,,,,,,,,,,,,,,,,,
Right Back,40250,Marco Zambelli,Empoli,290,1222,,,,,,,58.061325420375866,23.766737630497957,49.89070056212502,34.95723317218297,14.87603305785124,41.477272727272734,30.725925925925928,19.851380042462846,6.2015503875969,51.253644314868794,17.365269461077844,18.22222222222222,37.07482993197279,0.0,0.0,,,,,,,,,,,,,,,,,
Left Back,296873,Roberto Crivello,Frosinone,291,1490,,,,,,,47.44477415100561,30.547324946074713,55.99255516112803,60.505764224618815,42.148760330578504,19.318181818181817,22.22222222222222,37.52653927813164,25.581395348837205,18.01749271137026,21.55688622754491,39.55555555555555,39.45578231292517,0.0,25.0,,,,,,,,,,,,,,,,,
Right Back,386607,Gianpaolo Bellini,Atalanta,228,1028,,,,,,,65.61160567095288,27.194465774006815,52.97531517781669,51.004090740052064,38.016528925619824,25.0,25.925925925925924,37.791932059447994,0.7751937984496126,23.498542274052472,20.958083832335326,43.111111111111114,59.863945578231295,24.242424242424242,0.0,,,,,,,,,,,,,,,,,
Right Back,387300,Cristian Zaccardo,Carpi,1683,2443,,,,,,,36.00395647873393,27.329851067110383,53.097148484418845,38.45295648940127,37.60330578512396,43.18181818181818,60.044444444444444,37.261146496815286,8.914728682170542,13.877551020408161,19.76047904191617,40.888888888888886,29.591836734693878,9.09090909090909,0.0,,,,,,,,,,,,,,,,,
