main_position,player_id,player_name,team,team_id,minutes_played,saves_per90,save_percentage,xg_against_minus_goals_conceded_per90,keeper_sweeper_per90,penalty_save_percentage,aerial_dominance_index_per90,pass_completion_rate,rating
Goalkeeper,3815,Kasper Schmeichel,Leicester City,22,3581,39.590443686006815,64.50704225352113,75.53191489361703,18.134715025906736,0.0,39.90331491712708,0.0,55.549959915345575
Goalkeeper,3970,Fraser Forster,Southampton,25,1697,51.535836177474394,74.68812877263585,73.40425531914894,0.0,0.0,0.0,32.591449977963855,55.363600916006035
Goalkeeper,4053,Ben Foster,West Bromwich Albion,27,1406,54.26621160409556,67.16297786720322,63.829787234042556,14.507772020725392,0.0,3.4530386740331496,23.292199206698985,50.500040674017896
Goalkeeper,5108,Glyn Oliver Myhill,West Bromwich Albion,27,2171,45.733788395904426,46.88128772635818,51.06382978723405,13.989637305699484,0.0,16.560773480662984,17.650947553988537,40.026311907533454
Goalkeeper,6871,Costel Fane Pantilimon,Sunderland,41,1599,90.10238907849829,45.99597585513082,38.297872340425535,32.64248704663213,0.0,10.220994475138124,25.980608197443804,39.04706041335589
Goalkeeper,9014,Declan Rudd,Norwich City,56,1034,45.733788395904426,3.983903420523148,15.95744680851065,30.5699481865285,0.0,6.353591160220995,12.670780079330102,14.610729333413364
Goalkeeper,9539,Vito Mannone,Sunderland,41,1791,78.839590443686,74.60764587525155,62.76595744680852,31.088082901554408,0.0,18.632596685082873,11.17232260907889,55.5280797664347
Goalkeeper,12608,Bradley Guzan,Aston Villa,59,2646,53.58361774744026,14.044265593561377,2.127659574468087,17.61658031088083,0.0,19.88950276243094,42.529748788012334,13.3735367184963
Goalkeeper,13042,Tim Howard,Everton,29,2348,67.57679180887372,55.5734406438632,51.06382978723405,16.580310880829018,0.0,10.220994475138124,66.70339356544733,46.0090147861757
Goalkeeper,16309,Joel Robles Blázquez,Everton,29,1228,71.33105802047781,55.13078470824952,56.382978723404264,21.24352331606218,0.0,4.0055248618784525,29.770824151608632,46.47751130697101
Goalkeeper,18672,Mark Bunn,Aston Villa,59,938,29.010238907849832,0.0,23.404255319148945,14.507772020725392,50.0,6.0773480662983435,21.90392243278977,17.261656556893307
Goalkeeper,20074,Artur Boruc,AFC Bournemouth,28,3010,27.303754266211595,4.185110663983901,18.08510638297874,16.06217616580311,25.0,22.65193370165746,54.693697664169235,17.668472571995814
Goalkeeper,20201,Maarten Stekelenburg,Southampton,25,1598,17.064846416382252,23.98390342052315,52.12765957446809,6.217616580310882,0.0,4.544198895027623,50.705156456588796,32.77248863898822
