main_position,player_id,player_name,team,team_id,minutes_played,tackle_success_rate,tackles_successful_per90,interceptions_per90,interception_success_rate,clearances_per90,blocks_per90,duels_won_per90,times_dribbled_past_per90,progressive_passes_per90,duel_success_rate,goals_scored_per90,chances_created_per90
Right Center Back,6869,Alejandro Arribas Garrido,RC Deportivo La Coruña,219,2885,66.81664791901012,51.546391752577314,59.74025974025974,69.6960345625675,47.297297297297305,39.62962962962963,52.80898876404494,49.275362318840585,30.61754021795537,62.67866596082583,23.076923076923077,13.333333333333334
Left Center Back,6872,Bruno González Cabrera,Real Betis,218,2988,50.0,47.9381443298969,49.78354978354978,56.44190711309982,60.36036036036037,38.51851851851852,48.87640449438202,28.502415458937197,17.43642968344577,47.50308805364391,0.0,0.0
Right Center Back,7034,Mateo Pablo Musacchio,Villarreal,222,1119,59.786276715410565,49.48453608247422,31.168831168831172,70.71439592655454,32.432432432432435,42.96296296296296,40.44943820224719,17.39130434782609,25.42812662169175,39.12122816304923,30.76923076923077,17.77777777777778
Right Center Back,7161,Germán Alejandro Pezzella,Real Betis,218,2142,61.15485564304463,54.63917525773196,58.008658008657996,61.71887054466904,55.4054054054054,67.77777777777779,52.24719101123595,48.79227053140097,28.645563051375188,52.17928357155461,46.15384615384615,4.444444444444445
Left Center Back,7907,Pedro Bigas Rigo,Las Palmas,208,2418,51.46231721034871,46.90721649484536,73.59307359307358,75.7290541583089,53.153153153153156,50.74074074074073,48.87640449438202,19.323671497584545,19.97924234561494,50.85583200988177,42.30769230769231,20.0
Right Center Back,8440,Aythami Artiles Oliva,Las Palmas,208,2795,62.50468691413573,40.72164948453608,29.870129870129876,49.8534176824564,57.31981981981983,42.59259259259259,44.38202247191011,28.985507246376812,41.51530877010897,64.70795835539086,0.0,17.77777777777778
Left Center Back,8818,Jorge Meré Pérez,Sporting Gijón,1041,2230,39.48256467941508,52.061855670103085,39.82683982683983,56.34932880728282,39.86486486486487,32.962962962962955,52.24719101123595,34.78260869565217,17.43642968344577,36.844891476971945,0.0,4.444444444444445
Left Center Back,10476,Timothée Kolodziejczak,Sevilla,213,2420,28.96512935883015,25.773195876288657,44.58874458874459,74.91127912359204,21.62162162162162,19.25925925925926,28.08988764044944,21.256038647342997,40.58121432278152,33.13922710428798,0.0,15.555555555555555
Left Center Back,10609,Jérémy Mathieu,Barcelona,217,1106,47.787776527934014,29.381443298969074,45.454545454545446,87.96482024378955,41.216216216216225,61.85185185185185,32.02247191011236,25.120772946859905,32.74519979242345,50.85583200988177,0.0,35.55555555555556
Left Center Back,16456,Enzo Pablo Roco Roco,Espanyol,214,2418,31.252343457067866,18.041237113402058,52.81385281385281,80.17281283752507,46.05855855855856,46.666666666666664,17.415730337078656,33.81642512077295,29.42397509081473,29.78648314805012,26.923076923076927,7.777777777777778
Right Center Back,16539,Diego Antonio Reyes Rosales,Real Sociedad,210,2419,61.361079865016876,58.24742268041238,77.05627705627705,81.42261996605461,32.54504504504504,46.666666666666664,63.48314606741574,26.570048309178745,24.961079398028023,63.631551085230285,26.923076923076927,20.0
