player_id,player,ultimo_equipo,ultimo_team_id,competicion
9400,Daniel Tawiah Opare,Augsburg,172,Germany - 1. Bundesliga
9401,Marcel Heller,Darmstadt 98,872,Germany - 1. Bundesliga
9404,Luca Caldirola,Darmstadt 98,872,Germany - 1. Bundesliga
9406,Holger Badstuber,Bayern Munich,169,Germany - 1. Bundesliga
9407,Gojko Kačar,Hamburger SV,171,Germany - 1. Bundesliga
9408,Jan Morávek,Augsburg,172,Germany - 1. Bundesliga
9409,Daniel Ginczek,VfB Stuttgart,174,Germany - 1. Bundesliga
9459,Paweł Olkowski,FC Köln,186,Germany - 1. Bundesliga
9461,Timm Klose,Wolfsburg,179,Germany - 1. Bundesliga
9475,Moritz Leitner,Borussia Dortmund,180,Germany - 1. Bundesliga
9720,Philipp Ochs,Hoffenheim,175,Germany - 1. Bundesliga
9721,Valentin Stocker,Hertha Berlin,173,Germany - 1. Bundesliga
9722,Peter Pekarík,Hertha Berlin,173,Germany - 1. Bundesliga
9723,Sandro Wagner,Darmstadt 98,872,Germany - 1. Bundesliga
9728,Florian Klein,VfB Stuttgart,174,Germany - 1. Bundesliga
10281,André Schürrle,Wolfsburg,179,Germany - 1. Bundesliga
10287,İlkay Gündoğan,Borussia Dortmund,180,Germany - 1. Bundesliga
10332,Odisseas Vlachodimos,VfB Stuttgart,174,Germany - 1. Bundesliga
10483,Ørjan Håskjold Nyland,Ingolstadt,189,Germany - 1. Bundesliga
10594,Bas Dost,Wolfsburg,179,Germany - 1. Bundesliga
10790,Adelino André Vieira Freitas,Wolfsburg,179,Germany - 1. Bundesliga
10822,Sonny Kittel,Eintracht Frankfurt,184,Germany - 1. Bundesliga
10896,Marc Stendera,Eintracht Frankfurt,184,Germany - 1. Bundesliga
10902,Philipp Hosiner,FC Köln,186,Germany - 1. Bundesliga
10918,Dušan Švento,FC Köln,186,Germany - 1. Bundesliga
11131,Julian Schieber,Hertha Berlin,173,Germany - 1. Bundesliga
11134,Konstantin Rausch,Darmstadt 98,872,Germany - 1. Bundesliga
11278,Karim Onisiwo,FSV Mainz 05,177,Germany - 1. Bundesliga
11283,Fabian Johnson,Borussia Mönchengladbach,185,Germany - 1. Bundesliga
11285,Ibrahima Traoré,Borussia Mönchengladbach,185,Germany - 1. Bundesliga
11286,Dominik Maroh,FC Köln,186,Germany - 1. Bundesliga
11394,Stefan Kießling,Bayer Leverkusen,904,Germany - 1. Bundesliga
11395,Lukas Rupp,VfB Stuttgart,174,Germany - 1. Bundesliga
11396,Florian Grillitsch,Werder Bremen,176,Germany - 1. Bundesliga
11397,Suat Serdar,FSV Mainz 05,177,Germany - 1. Bundesliga
11398,Tobias Sippel,Borussia Mönchengladbach,185,Germany - 1. Bundesliga
11458,Marcel Schmelzer,Borussia Dortmund,180,Germany - 1. Bundesliga
11845,Artur Sobiech,Hannover 96,178,Germany - 1. Bundesliga
12294,Andre Hoffmann,Hannover 96,178,Germany - 1. Bundesliga
12304,Alfredo Morales,Ingolstadt,189,Germany - 1. Bundesliga
12316,Oliver Sorg,Hannover 96,178,Germany - 1. Bundesliga
12319,Ramazan Özcan,Ingolstadt,189,Germany - 1. Bundesliga
12320,Tony Jantschke,Borussia Mönchengladbach,185,Germany - 1. Bundesliga
12321,Tobias Strobl,Hoffenheim,175,Germany - 1. Bundesliga
12327,John Anthony Brooks,Hertha Berlin,173,Germany - 1. Bundesliga
12383,Florian Jungwirth,Darmstadt 98,872,Germany - 1. Bundesliga
12407,Maximilian Mittelstädt,Hertha Berlin,173,Germany - 1. Bundesliga
12424,Roman Weidenfeller,Borussia Dortmund,180,Germany - 1. Bundesliga
12551,Max Christiansen,Ingolstadt,189,Germany - 1. Bundesliga
