player,avg_rating,team,pos,pos_role
Kasper Dolberg,5.455,Denmark,Sub,Sub
Kasper Schmeichel,6.368125,Denmark,GK,GK
Keisuke Honda,6.8133333333333335,Japan,Sub,Sub
Kelechi Iheanacho,5.993,Nigeria,"FW, Sub","FW, Sub"
Kendall Waston,6.2325,Costa Rica,DF,DC
Kenneth Omeruo,6.235,Nigeria,DF,DC
Kevin De Bruyne,6.269583333333333,Belgium,"FW, MF","AMC, AMR, FW, MC"
Keylor Navas,5.7683333333333335,Costa Rica,GK,GK
Khadim N'Diaye,5.5775,Senegal,GK,GK
Khalid Boutadb,5.6925,Morocco,FW,FW
Ki Sung-Yueng,6.05125,South Korea,MF,"DMC, MC"
Kieran Trippier,6.785416666666666,England,MF,MR
Kim Min-Woo,5.136666666666667,South Korea,"DF, Sub","DL, Sub"
Kim Shin-Wook,5.47,South Korea,FW,FW
Kim Young-Gwon,6.2775,South Korea,DF,DC
Koke,5.836,Spain,"MF, Sub","DMC, MC, Sub"
Kyle Walker,6.2235,England,DF,DC
Kylian Mbappe,6.3624,France,"FW, MF, Sub","AMR, FWR, MR, Sub"
Lamine Gassama,5.505,Senegal,DF,DR
Lasse Schone,5.491,Denmark,"MF, Sub","DMC, Sub"
Leander Dendoncker,5.62,Belgium,DF,DC
Lee Seung-Woo,6.04,South Korea,Sub,Sub
Lee Yong,6.1191666666666675,South Korea,DF,DR
Leon Balogun,5.863333333333333,Nigeria,DF,DC
Lionel Messi,6.449375,Argentina,"FW, MF","AMC, FW"
Lovre Kalinic,6.1825,Croatia,GK,GK
Lucas Biglia,5.9325,Argentina,MF,DMC
Lucas Hernandez,5.935357142857143,France,DF,DL
Lucas Torreira,5.96375,Uruguay,"MF, Sub","DMC, Sub"
Lucas Vazquez,6.126666666666666,Spain,"MF, Sub","MR, Sub"
Ludwig Augustinsson,5.8935,Sweden,DF,DL
Luis Advincula,6.209166666666667,Peru,DF,DR
Luis Muriel,5.398333333333333,Colombia,Sub,Sub
Luis Ovalle,5.78,Panama,DF,DL
Luis Suarez,6.053,Uruguay,FW,FW
Luis Tejada,5.508,Panama,Sub,Sub
Luka Milivojevic,5.8175,Serbia,MF,DMC
Luka Modric,6.256666666666667,Croatia,MF,"DMC, MC"
Lukasz Fabianski,6.1175,Poland,GK,GK
Lukasz Piszczek,5.7575,Poland,DF,"DC, DR"
Lukasz Teodorczyk,5.609999999999999,Poland,Sub,Sub
M'Baye Niang,6.284166666666667,Senegal,FW,FW
Maciej Rybus,5.8275,Poland,"DF, MF","DL, DML"
Makoto Hasebe,5.637142857142857,Japan,"MF, Sub","DMC, Sub"
Mame Biram Diouf,5.826,Senegal,"FW, Sub","FW, Sub"
Manuel Akanji,5.72375,Switzerland,DF,DC
Manuel Fernandes,6.4,Portugal,Sub,Sub
Manuel Neuer,5.570833333333333,Germany,GK,GK
Manuel da Costa,5.7188888888888885,Morocco,"DF, Sub","DC, Sub"
Marcelo,6.182142857142857,Brazil,DF,DL
Marcelo Brozovic,5.806315789473683,Croatia,"MF, Sub","DMC, Sub"
Marco Asensio,5.74875,Spain,"MF, Sub","AMR, Sub"
Marco Fabian,6.05,Mexico,Sub,Sub
Marco Reus,5.801818181818182,Germany,"MF, Sub","AMC, AML, Sub"
Marco Urena,5.8775,Costa Rica,FW,FW
Marcos Acuna,6.03,Argentina,MF,DML
Marcos Rojo,5.7375,Argentina,DF,DC
Marcus Berg,6.007,Sweden,FW,FW
Marcus Rashford,5.819285714285714,England,"FW, Sub","FW, Sub"
Mario Fernandes,5.988,Russia,"DF, MF, Sub","DMR, DR, Sub"
Mario Gavranovic,5.694285714285714,Switzerland,"FW, Sub","FW, Sub"
Mario Gomez,6.034000000000001,Germany,Sub,Sub
Mario Mandzukic,6.0905000000000005,Croatia,FW,FW
Mark Milligan,5.785833333333334,Australia,DF,DC
Marko Pjaca,5.78,Croatia,"MF, Sub","AMC, Sub"
Marouane Fellaini,5.774444444444445,Belgium,"MF, Sub","AMC, MC, Sub"
Marquinhos,6.0600000000000005,Brazil,Sub,Sub
Martin Braithwaite,5.604615384615385,Denmark,"MF, Sub","ML, MR, Sub"
Martin Caceres,5.769,Uruguay,DF,"DL, DR"
Martin Olsson,5.797499999999999,Sweden,Sub,Sub
Marvin Plattenhardt,5.7425,Germany,DF,DL
Marwan Mohsen,5.973333333333334,Egypt,FW,FW
Masoud Shojaei,6.45,Iran,MF,MC
Mat Ryan,5.7875000000000005,Australia,GK,GK
Mateo Kovacic,5.99,Croatia,"MF, Sub","MC, Sub"
Mateus Uribe,5.712,Colombia,"MF, Sub","DMC, Sub"
Mathew Leckie,5.760833333333333,Australia,MF,MR
Matias Vecino,5.785,Uruguay,MF,MC
Mats Hummels,6.175,Germany,DF,DC
Maxi Gomez,5.805,Uruguay,Sub,Sub
Maximiliano Meza,6.202500000000001,Argentina,"MF, Sub","AMC, AMR, Sub"
Maya Yoshida,5.956875,Japan,DF,DC
Medhi Benatia,5.140000000000001,Morocco,DF,DC
Mehdi Carcela-Gonzalez,6.04,Morocco,Sub,Sub
Mehdi Taremi,5.957777777777778,Iran,"MF, Sub","ML, MR, Sub"
Mesut Ozil,6.0325,Germany,MF,AMC
