,avg_rating,player,score,revisar,player_id,ultimo_equipo,ultimo_team_id,posiciones,partidos_jugados
454,6.218,Pontus Jansson,100.0,False,4709.0,Sweden,790.0,"['Right Center Back', 'Right Back']",2.0
455,5.895,Presnel Kimpembe,100.0,False,2999.0,France,771.0,['Left Center Back'],1.0
456,5.859375,Radamel Falcao García Zárate,66.66666666666667,True,3445.0,Colombia,769.0,"['Left Center Forward', 'Right Center Forward', 'Center Forward']",4.0
457,5.80875,Rafael Márquez Álvarez,72.22222222222221,True,5558.0,Mexico,794.0,"['Left Defensive Midfield', 'Center Defensive Midfield', 'Left Center Midfield', 'Right Defensive Midfield', 'Center Midfield']",3.0
458,6.2775,Rafał Kurzawa,92.3076923076923,False,6336.0,Poland,789.0,['Left Wing'],1.0
459,5.723333333333334,Ragnar Sigurðsson,94.11764705882352,False,5511.0,Iceland,793.0,['Left Center Back'],3.0
460,5.904583333333334,Raheem Sterling,100.0,False,3233.0,England,768.0,"['Right Center Forward', 'Left Center Forward']",6.0
461,6.0120000000000005,Ramadan Sobhi Ramadan Ahmed,65.0,True,3536.0,Egypt,774.0,"['Right Midfield', 'Left Midfield', 'Left Wing']",3.0
462,5.6775,Rami Bedoui,100.0,False,6345.0,Tunisia,777.0,['Right Center Back'],1.0
463,6.043636363636364,Ramin Rezaeian,100.0,False,5235.0,Iran,797.0,['Right Back'],3.0
464,6.09,Rándall Azofeifa Corrales,73.17073170731707,True,6327.0,Costa Rica,795.0,['Left Center Midfield'],1.0
465,6.09125,Raphaël Adelino José Guerreiro,68.08510638297872,True,5209.0,Portugal,780.0,['Left Back'],4.0
466,5.941071428571428,Raphaël Varane,92.85714285714286,False,5485.0,France,771.0,['Right Center Back'],7.0
467,5.706,Raúl Alonso Jiménez Rodríguez,48.78048780487805,True,5568.0,Mexico,794.0,"['Left Wing', 'Left Midfield', 'Center Forward']",2.0
468,6.05,Raúl Mario Ruidíaz Misitich,51.28205128205128,True,5533.0,Peru,784.0,"['Left Wing', 'Center Forward']",2.0
469,6.51,Renato Soares de Oliveira Augusto,59.57446808510638,True,5553.0,Brazil,781.0,"['Left Center Midfield', 'Right Midfield', 'Right Center Midfield']",3.0
470,5.72875,Renato Fabrizio Tapia Cortijo,58.53658536585367,True,5523.0,Peru,784.0,"['Right Defensive Midfield', 'Right Center Midfield']",2.0
471,5.796666666666667,Ricardo Guardia Avila,76.47058823529412,True,6138.0,Panama,798.0,"['Left Center Midfield', 'Right Center Midfield', 'Left Wing']",2.0
