,main_position,player_id,player_name,team,team_id,minutes_played,interceptions_per90,ball_recoveries_per90,pressures_per90,chances_created_per90,pass_completion_rate,progressive_passes_per90,duels_won_per90,fouls_committed_per90,goals_scored_per90,goal_assists_per90,duel_success_rate
608,Right Defensive Midfield,3478,Francesc Fàbregas i Soler,Chelsea,33,3119,28.370786516853936,39.8876404494382,74.15730337078652,94.9438202247191,52.24719101123596,100.0,83.14606741573034,11.797752808988763,92.97752808988764,97.19101123595506,24.719101123595504
627,Left Defensive Midfield,3517,Aaron Ramsey,Arsenal,1,2720,32.02247191011236,93.82022471910112,78.65168539325843,83.70786516853933,70.78651685393258,88.20224719101124,70.78651685393258,56.17977528089888,96.06741573033707,87.92134831460675,39.325842696629216
655,Right Defensive Midfield,3600,Morgan Schneiderlin,Manchester United,39,2346,85.39325842696628,47.752808988764045,49.43820224719101,19.662921348314608,96.06741573033707,29.49438202247191,55.0561797752809,79.7752808988764,45.78651685393258,15.730337078651685,33.42696629213483
661,Right Defensive Midfield,3607,James McCarthy,Everton,29,2730,14.887640449438203,11.51685393258427,45.2247191011236,38.764044943820224,80.33707865168539,23.595505617977526,70.2247191011236,29.213483146067414,64.32584269662921,62.92134831460674,55.0561797752809
670,Left Defensive Midfield,3626,Ben Watson,Watford,23,2922,61.23595505617978,7.303370786516854,42.69662921348314,78.65168539325843,11.235955056179774,67.97752808988764,47.752808988764045,18.53932584269663,45.78651685393258,15.730337078651685,72.47191011235955
672,Left Defensive Midfield,3633,Gareth Barry,Everton,29,3011,34.831460674157306,44.9438202247191,50.56179775280899,75.84269662921348,53.37078651685393,93.53932584269663,82.30337078651685,36.51685393258427,19.382022471910112,15.730337078651685,52.24719101123596
674,Left Defensive Midfield,3636,Charlie Adam,Stoke City,30,1127,8.98876404494382,85.39325842696628,21.34831460674157,60.95505617977528,7.303370786516854,83.70786516853933,5.617977528089887,95.50561797752809,70.50561797752809,68.82022471910112,6.460674157303371
688,Right Defensive Midfield,3665,Andrew Philip King,Leicester City,22,851,4.49438202247191,73.03370786516854,52.80898876404494,71.91011235955057,28.651685393258425,67.41573033707866,21.629213483146067,3.932584269662921,100.0,81.46067415730337,26.40449438202247
716,Center Defensive Midfield,3897,Pedro Mba Obiang Avomo,West Ham United,40,1046,64.60674157303372,50.0,90.4494382022472,11.235955056179774,28.08988764044944,27.52808988764045,87.35955056179775,52.80898876404494,19.382022471910112,73.59550561797754,27.52808988764045
722,Left Defensive Midfield,3961,N''Golo Kanté,Leicester City,22,3106,100.0,97.19101123595506,93.82022471910112,60.1123595505618,51.68539325842697,11.797752808988763,98.31460674157303,25.56179775280899,39.8876404494382,73.59550561797754,39.8876404494382
