,main_position,player_id,player_name,team,team_id,minutes_played,progressive_carries_rate,progressive_carries_per90,tackle_success_rate,tackles_successful_per90,interceptions_per90,interception_success_rate,clearances_per90,blocks_per90,duels_won_per90,times_dribbled_past_per90,progressive_passes_per90,duel_success_rate,goals_scored_per90,chances_created_per90
569,Left Center Back,3341,Steve Cook,AFC Bournemouth,28,3388,47.107438016528924,69.42148760330579,15.702479338842975,9.297520661157025,61.98347107438017,57.85123966942148,85.12396694214877,30.785123966942145,6.198347107438017,46.48760330578512,64.87603305785123,11.15702479338843,90.28925619834712,33.88429752066116
581,Left Center Back,3389,Eliaquim Mangala,Manchester City,36,2152,2.066115702479339,30.165289256198346,76.65289256198346,55.99173553719008,54.958677685950406,63.84297520661158,48.34710743801653,5.371900826446281,55.578512396694215,79.13223140495867,3.71900826446281,77.06611570247934,21.90082644628099,3.71900826446281
583,Left Center Back,3394,Laurent Koscielny,Arsenal,1,3094,74.3801652892562,89.25619834710744,47.93388429752066,47.72727272727273,79.9586776859504,76.03305785123968,75.6198347107438,65.49586776859503,50.6198347107438,26.446280991735538,51.2396694214876,62.8099173553719,92.76859504132231,82.02479338842976
584,Right Center Back,3407,Scott Dann,Crystal Palace,31,3293,97.10743801652893,29.338842975206614,52.47933884297521,7.024793388429752,22.31404958677686,26.446280991735538,58.88429752066116,64.25619834710744,8.057851239669422,21.694214876033058,42.97520661157025,67.35537190082644,96.28099173553719,72.93388429752066
594,Right Center Back,3456,Kurt Happy Zouma,Chelsea,33,1986,27.27272727272727,15.909090909090908,27.892561983471076,21.280991735537192,5.991735537190083,2.479338842975207,95.0413223140496,25.0,23.96694214876033,1.6528925619834711,3.3057851239669422,38.63636363636363,59.29752066115702,3.71900826446281
603,Left Center Back,3471,Dejan Lovren,Liverpool,24,2080,67.35537190082644,51.2396694214876,34.710743801652896,47.72727272727273,22.31404958677686,16.115702479338843,93.18181818181817,49.3801652892562,42.768595041322314,81.81818181818183,63.42975206611571,24.586776859504134,21.90082644628099,92.14876033057851
606,Right Center Back,3475,Per Mertesacker,Arsenal,1,2249,92.76859504132231,77.68595041322314,90.49586776859503,10.950413223140496,11.363636363636363,86.98347107438018,50.413223140495866,1.2396694214876034,13.016528925619836,4.75206611570248,24.586776859504134,94.21487603305785,21.90082644628099,10.330578512396695
609,Right Center Back,3480,Geoff Cameron,Stoke City,30,2536,54.54545454545454,68.59504132231406,81.81818181818183,73.55371900826447,83.47107438016529,78.30578512396694,22.727272727272727,33.057851239669425,62.8099173553719,97.52066115702479,78.51239669421489,59.71074380165289,21.90082644628099,88.42975206611571
610,Right Center Back,3482,James Collins,West Ham United,40,1508,33.88429752066116,20.24793388429752,15.702479338842975,9.297520661157025,40.909090909090914,26.446280991735538,100.0,89.0495867768595,10.743801652892563,60.74380165289256,35.9504132231405,24.586776859504134,21.90082644628099,14.46280991735537
611,Left Center Back,3483,Mamadou Sakho,Liverpool,24,1973,83.88429752066115,86.77685950413223,15.702479338842975,30.37190082644628,69.42148760330579,94.62809917355372,86.77685950413223,64.87603305785123,36.77685950413223,6.40495867768595,75.0,24.586776859504134,59.29752066115702,63.42975206611571
653,Right Center Back,3596,Gareth McAuley,West Bromwich Albion,27,3200,46.48760330578512,14.87603305785124,18.181818181818183,27.892561983471076,34.29752066115703,60.74380165289256,94.00826446280992,59.71074380165289,27.685950413223143,34.090909090909086,38.84297520661157,14.87603305785124,44.83471074380165,55.16528925619835
676,Left Center Back,3644,Ashley Williams,Swansea City,26,3387,75.20661157024794,80.57851239669421,70.66115702479338,75.41322314049587,71.07438016528926,55.578512396694215,98.7603305785124,82.43801652892562,69.00826446280992,13.223140495867769,69.83471074380165,56.611570247933884,65.70247933884298,86.36363636363636
677,Right Center Back,3645,Gary Cahill,Chelsea,33,1983,40.082644628099175,33.88429752066116,88.01652892561982,50.6198347107438,12.396694214876034,60.12396694214877,86.36363636363636,92.14876033057851,53.30578512396694,15.909090909090908,0.6198347107438017,91.73553719008265,86.98347107438018,29.958677685950413
691,Left Center Back,3669,Virgil van Dijk,Southampton,25,3203,61.15702479338842,60.74380165289256,65.9090909090909,71.900826446281,76.85950413223141,55.578512396694215,97.10743801652893,16.115702479338843,76.44628099173553,2.066115702479339,52.68595041322314,76.2396694214876,81.81818181818183,74.79338842975206
697,Left Center Back,3693,Damien Delaney,Crystal Palace,31,3006,64.0495867768595,16.528925619834713,12.190082644628099,13.429752066115702,20.66115702479339,14.87603305785124,80.78512396694215,68.80165289256198,13.016528925619836,48.760330578512395,59.50413223140496,13.223140495867769,65.70247933884298,77.27272727272727
708,Right Center Back,3813,Wes Morgan,Leicester City,22,3581,18.59504132231405,6.6115702479338845,66.52892561983471,37.60330578512397,35.12396694214876,49.586776859504134,69.42148760330579,71.48760330578511,40.082644628099175,3.0991735537190084,2.066115702479339,70.24793388429752,65.70247933884298,22.107438016528928
714,Left Center Back,3843,Angelo Obinze Ogbonna,West Ham United,40,2552,35.12396694214876,33.47107438016529,75.6198347107438,64.6694214876033,73.34710743801654,82.64462809917356,66.94214876033058,22.520661157024794,62.8099173553719,8.057851239669422,16.94214876033058,70.66115702479338,21.90082644628099,22.107438016528928
