,main_position,player_id,player_name,team,team_id,minutes_played,dribbles_completed_per90,dribble_success_rate,crosses_completed_per90,key_passes_per90,ball_recoveries_per90,pressures_per90,fouls_won_per90,goal_assists_per90,progressive_carries_per90,goals_scored_per90,goals_minus_xg_per90,progressive_carries_rate,chances_created_per90
604,Right Wing,3472,Willian Borges da Silva,Chelsea,33,3019,72.36180904522614,93.96984924623115,64.57286432160804,94.9748743718593,69.09547738693468,34.17085427135678,68.34170854271356,79.14572864321609,85.42713567839196,41.45728643216081,63.5678391959799,38.19095477386934,93.21608040201005
615,Left Wing,3491,Dimitri Payet,West Ham United,40,2739,82.41206030150754,96.4824120603015,93.46733668341709,99.49748743718592,79.14572864321609,5.527638190954774,37.185929648241206,96.73366834170855,68.84422110552764,80.40201005025126,90.95477386934674,36.18090452261307,100.0
620,Left Wing,3501,Philippe Coutinho Correia,Liverpool,24,2262,69.34673366834171,62.562814070351756,12.562814070351758,78.64321608040201,67.33668341708542,37.68844221105528,39.19597989949749,75.37688442211056,84.67336683417085,82.1608040201005,63.5678391959799,49.74874371859296,77.88944723618091
622,Right Wing,3507,Wilfried Zaha,Crystal Palace,31,2821,97.48743718592965,81.90954773869346,88.19095477386935,41.45728643216081,93.96984924623115,47.73869346733669,95.97989949748744,10.301507537688442,91.4572864321608,13.5678391959799,37.185929648241206,92.96482412060301,33.41708542713568
625,Left Midfield,3514,James McClean,West Bromwich Albion,27,2633,26.884422110552762,44.72361809045226,87.43718592964824,34.17085427135678,26.38190954773869,65.32663316582915,41.45728643216081,20.100502512562816,45.7286432160804,13.5678391959799,42.211055276381906,90.45226130653266,27.63819095477387
636,Right Wing,3533,Xherdan Shaqiri,Stoke City,30,2534,42.96482412060301,34.17085427135678,44.472361809045225,68.34170854271356,29.64824120603015,2.512562814070352,20.85427135678392,66.08040201005025,25.376884422110553,28.894472361809044,51.75879396984925,12.060301507537687,69.84924623115577
647,Right Wing,3585,Erik Lamela,Tottenham Hotspur,38,2624,29.64824120603015,25.879396984924625,9.045226130653267,91.70854271356784,48.49246231155779,87.43718592964824,43.21608040201005,90.45226130653266,27.1356783919598,52.26130653266332,30.90452261306533,6.532663316582915,92.46231155778895
649,Left Wing,3589,Yannick Bolasie Yala,Crystal Palace,31,2163,91.95979899497488,59.2964824120603,86.93467336683418,27.63819095477387,74.62311557788944,14.07035175879397,46.733668341708544,46.231155778894475,83.66834170854271,59.54773869346733,57.03517587939698,95.47738693467338,26.884422110552762
668,Left Wing,3621,Eden Hazard,Chelsea,33,2355,90.45226130653266,95.47738693467338,64.57286432160804,96.98492462311557,67.33668341708542,2.0100502512562812,94.22110552763819,42.71356783919598,98.99497487437185,45.7286432160804,76.13065326633166,59.798994974874375,93.96984924623115
673,Right Wing,3635,Jordon Ibe,Liverpool,24,1125,95.22613065326632,70.10050251256281,60.55276381909548,64.321608040201,97.48743718592965,44.72361809045226,31.155778894472363,31.155778894472363,96.98492462311557,20.603015075376884,30.90452261306533,54.773869346733676,61.55778894472361
678,Left Midfield,3646,Marc Pugh,AFC Bournemouth,28,1408,58.291457286432156,23.115577889447238,59.04522613065326,14.572864321608039,44.472361809045225,33.165829145728644,52.76381909547738,46.231155778894475,77.38693467336684,56.78391959798995,57.03517587939698,69.34673366834171,17.33668341708543
690,Left Wing,3668,Theo Walcott,Arsenal,1,1404,50.0,59.798994974874375,17.587939698492463,19.849246231155778,17.587939698492463,4.0201005025125625,54.2713567839196,46.231155778894475,30.65326633165829,83.66834170854271,5.276381909547738,78.89447236180904,21.35678391959799
694,Left Wing,3683,Tom Cleverley,Everton,29,1594,11.557788944723619,83.16582914572864,26.884422110552762,32.663316582914575,77.1356783919598,94.47236180904522,24.371859296482413,84.17085427135679,11.557788944723619,33.165829145728644,63.5678391959799,1.0050251256281406,42.96482412060301
704,Right Wing,3726,Gerard Deulofeu Lázaro,Everton,29,1503,74.12060301507537,61.55778894472361,94.47236180904522,77.1356783919598,55.27638190954774,16.582914572864322,13.819095477386934,99.49748743718592,92.46231155778895,33.165829145728644,57.03517587939698,82.41206030150754,86.68341708542714
709,Right Midfield,3814,Riyad Mahrez,Leicester City,22,3390,93.46733668341709,65.32663316582915,59.04522613065326,67.33668341708542,80.90452261306532,39.44723618090452,77.88944723618091,89.69849246231156,66.83417085427136,94.72361809045226,90.95477386934674,75.37688442211056,74.37185929648241
712,Left Wing,3831,Dušan Tadić,Southampton,25,2546,36.68341708542713,87.43718592964824,98.49246231155779,95.97989949748744,46.984924623115575,26.633165829145728,33.91959798994975,95.7286432160804,58.040201005025125,68.34170854271356,46.733668341708544,81.65829145728644,96.98492462311557
718,Right Wing,3953,Aaron Lennon,Everton,29,1605,20.100502512562816,31.909547738693465,34.92462311557789,47.48743718592965,15.577889447236181,62.311557788944725,35.678391959798994,5.025125628140704,18.592964824120603,78.89447236180904,96.73366834170855,23.618090452261306,37.185929648241206
720,Left Wing,3958,Pedro Eliezer Rodríguez Ledesma,Chelsea,33,2268,79.64824120603015,78.39195979899498,63.81909547738693,70.85427135678391,96.98492462311557,37.185929648241206,73.36683417085426,26.13065326633166,72.36180904522614,77.38693467336684,68.5929648241206,37.185929648241206,68.5929648241206
724,Right Wing,3963,Victor Moses,West Ham United,40,1224,51.256281407035175,34.67336683417086,22.613065326633166,34.17085427135678,22.110552763819097,5.025125628140704,55.27638190954774,54.52261306532663,74.37185929648241,17.33668341708543,14.824120603015075,90.95477386934674,37.185929648241206
746,Left Wing,4317,Kevin Mirallas,Everton,29,948,67.58793969849246,67.08542713567839,38.19095477386934,57.78894472361809,78.14070351758794,32.1608040201005,61.30653266331658,71.60804020100502,57.03517587939698,89.19597989949749,78.89447236180904,25.125628140703515,61.55778894472361
749,Left Midfield,4416,Max-Alain Gradel,AFC Bournemouth,28,1035,54.2713567839196,18.592964824120603,43.21608040201005,10.050251256281408,88.94472361809045,63.31658291457286,72.36180904522614,66.08040201005025,52.26130653266332,20.603015075376884,23.115577889447238,85.42713567839196,15.07537688442211
772,Left Wing,4831,Nacer Chadli,Tottenham Hotspur,38,940,30.65326633165829,5.527638190954774,25.376884422110553,81.90954773869346,34.92462311557789,46.733668341708544,6.030150753768844,75.37688442211056,31.155778894472363,78.89447236180904,63.5678391959799,3.015075376884422,81.15577889447236
788,Right Wing,5581,Joel Nathaniel Campbell Samuels,Arsenal,1,1035,28.894472361809044,88.69346733668341,19.597989949748744,27.63819095477387,27.63819095477387,72.8643216080402,80.90452261306532,66.08040201005025,43.969849246231156,75.37688442211056,86.4321608040201,24.120603015075375,30.90452261306533
802,Right Wing,6800,Carles Gil de Pareja Vicent,Aston Villa,59,1603,71.60804020100502,76.63316582914574,34.92462311557789,50.25125628140703,51.005025125628144,45.7286432160804,48.99497487437186,15.07537688442211,86.93467336683418,33.165829145728644,72.36180904522614,26.13065326633166,46.482412060301506
803,Right Wing,6821,Jesús Navas González,Manchester City,36,2248,60.30150753768844,92.46231155778895,90.7035175879397,85.42713567839196,90.95477386934674,40.20100502512563,20.100502512562816,91.20603015075378,92.96482412060301,3.2663316582914574,4.522613065326634,61.80904522613066,85.678391959799
804,Left Midfield,6870,José Manuel Jurado Marín,Watford,23,2535,61.80904522613066,82.41206030150754,21.608040201005025,61.30653266331658,75.87939698492463,15.577889447236181,42.71356783919598,5.025125628140704,36.93467336683417,3.2663316582914574,19.34673366834171,10.050251256281408,51.256281407035175
806,Left Wing,7063,Jefferson Antonio Montero Vite,Swansea City,26,1316,87.43718592964824,22.110552763819097,96.98492462311557,76.13065326633166,45.7286432160804,22.613065326633166,91.20603015075378,50.502512562814076,99.49748743718592,3.2663316582914574,3.5175879396984926,100.0,75.62814070351759
810,Right Midfield,7171,Fabio Borini,Sunderland,41,2075,8.542713567839195,14.572864321608039,15.07537688442211,7.537688442211055,34.17085427135678,47.23618090452261,71.35678391959799,31.155778894472363,12.060301507537687,62.8140703517588,46.733668341708544,33.66834170854271,6.532663316582915
822,Left Midfield,9485,Craig Gardner,West Bromwich Albion,27,1885,3.015075376884422,10.050251256281408,57.286432160804026,38.94472361809046,46.231155778894475,93.46733668341709,27.889447236180903,54.52261306532663,3.5175879396984926,41.45728643216081,23.115577889447238,21.105527638190953,42.96482412060301
861,Left Wing,11117,Scott Sinclair,Aston Villa,59,1802,48.99497487437186,56.03015075376885,2.0100502512562812,0.5025125628140703,6.030150753768844,7.035175879396985,17.839195979899497,5.025125628140704,29.145728643216078,24.371859296482413,19.34673366834171,51.75879396984925,0.5025125628140703
883,Right Wing,16457,Jeremain Lens,Sunderland,41,1319,78.89447236180904,55.27638190954774,38.19095477386934,27.63819095477387,34.92462311557789,84.42211055276381,73.86934673366834,79.14572864321609,70.85427135678391,59.54773869346733,76.13065326633166,62.8140703517588,35.678391959798994
894,Left Wing,20039,Anthony Martial,Manchester United,39,2719,81.4070351758794,56.78391959798995,53.768844221105525,36.68341708542713,42.96482412060301,18.090452261306535,66.33165829145729,35.92964824120603,76.88442211055276,87.68844221105527,92.71356783919597,45.22613065326633,35.678391959798994
917,Left Midfield,22594,Matt Jarvis,Norwich City,56,1224,7.035175879396985,80.65326633165829,78.89447236180904,34.17085427135678,1.507537688442211,17.587939698492463,2.0100502512562812,26.13065326633166,24.120603015075375,17.33668341708543,46.733668341708544,95.97989949748744,28.391959798994975
927,Left Wing,26696,Arouna Koné,Everton,29,1502,66.33165829145729,73.86934673366834,8.040201005025125,3.5175879396984926,51.005025125628144,8.040201005025125,16.08040201005025,66.08040201005025,45.22613065326633,80.40201005025126,57.03517587939698,12.814070351758794,5.025125628140704
955,Right Wing,42902,Adam Johnson,Sunderland,41,1033,28.894472361809044,75.62814070351759,65.32663316582915,90.95477386934674,94.9748743718593,15.07537688442211,32.914572864321606,97.48743718592965,55.0251256281407,52.26130653266332,57.03517587939698,1.507537688442211,95.47738693467338
