,main_position,player_id,player_name,team,team_id,minutes_played,saves_per90,save_percentage,xg_against_minus_goals_conceded_per90,keeper_sweeper_per90,penalty_save_percentage,aerial_dominance_index_per90,pass_completion_rate,tackle_success_rate,tackles_successful_per90,interceptions_per90,interception_success_rate,pressures_per90,chances_created_per90,progressive_carries_per90,crosses_completed_per90,duels_won_per90,fouls_committed_per90,goals_scored_per90,goal_assists_per90,clearances_per90,blocks_per90,times_dribbled_past_per90,progressive_passes_per90,duel_success_rate,ball_recoveries_per90,dribbles_completed_per90,dribble_success_rate,key_passes_per90,shots_total_per90,xg_total_per90,fouls_won_per90,goals_minus_xg_per90,progressive_carries_rate,shot_accuracy,penalties_won_per90,headed_shot_duel_rate,rating
48,Goalkeeper,20074,Artur Boruc,AFC Bournemouth,28,3010,11.956521739130435,3.260869565217391,4.891304347826087,11.41304347826087,71.73913043478261,28.26086956521739,64.13043478260869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.5351720689623
49,Goalkeeper,20201,Maarten Stekelenburg,Southampton,25,1598,4.3478260869565215,16.304347826086957,41.84782608695652,2.1739130434782608,28.26086956521739,6.521739130434782,53.2608695652174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.744029458197645
50,Goalkeeper,23635,John Ruddy,Norwich City,56,2542,20.652173913043477,9.782608695652174,20.108695652173914,26.08695652173913,28.26086956521739,21.73913043478261,30.434782608695656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.46768233058786
51,Goalkeeper,3112,Anton Ciprian Tătărușanu,Fiorentina,239,3461,3.260869565217391,15.217391304347828,47.82608695652174,73.36956521739131,28.26086956521739,64.13043478260869,94.56521739130434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.621270322894546
52,Goalkeeper,3742,Orestis Karnezis,Udinese,230,3550,42.391304347826086,21.73913043478261,15.760869565217392,29.347826086956523,57.065217391304344,57.608695652173914,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.34486833515458
53,Goalkeeper,5669,Wojciech Szczęsny,AS Roma,229,3184,48.369565217391305,85.86956521739131,89.13043478260869,84.78260869565217,28.26086956521739,78.80434782608695,86.95652173913044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.09699842288214
54,Goalkeeper,6949,Gianluigi Buffon,Juventus,224,3264,6.521739130434782,98.91304347826086,94.56521739130434,33.15217391304348,81.52173913043478,29.891304347826086,96.73913043478261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.48755325687344
55,Goalkeeper,7001,Samir Handanovič,Inter Milan,238,3377,61.41304347826087,92.3913043478261,91.30434782608695,77.17391304347827,60.32608695652174,73.91304347826086,92.3913043478261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.80036398828307
56,Goalkeeper,7018,Emiliano Viviano,Sampdoria,234,3462,92.3913043478261,61.95652173913043,62.5,57.065217391304344,89.13043478260869,72.28260869565217,48.91304347826087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.05161255716398
57,Goalkeeper,7028,José Manuel Reina Páez,Napoli,227,3443,1.0869565217391304,18.478260869565215,69.56521739130434,77.17391304347827,28.26086956521739,43.47826086956522,97.82608695652173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.44211938461794
58,Goalkeeper,7036,Gianluigi Donnarumma,AC Milan,243,2813,28.804347826086957,77.17391304347827,72.28260869565217,82.06521739130434,28.26086956521739,84.78260869565217,80.43478260869566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.28068862174878
59,Goalkeeper,7055,Stefano Sorrentino,Palermo,2256,3269,79.8913043478261,39.130434782608695,17.391304347826086,66.30434782608695,28.26086956521739,97.82608695652173,38.04347826086957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.85030374847748
60,Goalkeeper,7132,Andrea Consigli,Sassuolo,232,3461,35.32608695652174,76.08695652173914,69.56521739130434,64.13043478260869,92.93478260869566,80.97826086956522,84.78260869565217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.6394851371536
61,Goalkeeper,7148,Mattia Perin,Genoa,233,2337,74.45652173913044,83.69565217391305,50.0,80.43478260869566,98.91304347826086,53.80434782608695,45.65217391304348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0557789549033
62,Goalkeeper,7157,Marco Sportiello,Atalanta,228,3375,54.347826086956516,60.86956521739131,69.56521739130434,49.45652173913043,87.5,49.45652173913043,40.21739130434783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.287035442899615
63,Goalkeeper,7174,Antonio Mirante,Bologna,240,3089,43.47826086956522,47.82608695652174,77.17391304347827,89.13043478260869,57.065217391304344,94.56521739130434,52.17391304347826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.62946102943602
64,Goalkeeper,7803,Albano Benjamín Bizzarri,Chievo,231,3271,77.17391304347827,82.6086956521739,67.3913043478261,40.76086956521739,92.93478260869566,55.434782608695656,28.26086956521739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.72697161245048
