,main_position,player_id,player_name,team,team_id,minutes_played,xg_total_per90,goals_minus_xg_per90,goals_scored_per90,shot_accuracy,chances_created_per90,dribble_success_rate,dribbles_completed_per90,goal_assists_per90,penalties_won_per90,key_passes_per90,progressive_carries_rate,headed_shot_duel_rate,fouls_won_per90,progressive_carries_per90,pass_completion_rate,ball_recoveries_per90,pressures_per90
891,Center Forward,19362,Rudy Gestede,Aston Villa,59,1321,47.0,38.333333333333336,44.333333333333336,12.0,29.333333333333332,91.33333333333333,50.66666666666667,25.333333333333336,83.66666666666667,36.0,10.666666666666668,89.33333333333333,11.333333333333332,5.0,2.666666666666667,27.0,30.666666666666664
907,Center Forward,20521,Bafétimbi Gomis,Swansea City,26,1694,60.333333333333336,20.0,37.666666666666664,14.000000000000002,22.333333333333332,94.0,89.33333333333333,6.666666666666667,76.66666666666667,36.0,7.333333333333333,83.66666666666667,31.333333333333336,46.33333333333333,94.0,44.666666666666664,14.666666666666666
910,Center Forward,20641,Connor Wickham,Crystal Palace,31,1413,35.66666666666667,49.333333333333336,37.666666666666664,2.666666666666667,31.666666666666664,98.0,65.33333333333333,84.0,26.666666666666668,22.0,9.333333333333334,57.99999999999999,37.0,15.333333333333332,26.0,26.0,58.666666666666664
921,Center Forward,23663,Dieumerci Mbokani Bezua,Norwich City,56,1411,56.333333333333336,69.33333333333334,69.66666666666667,88.0,85.33333333333334,89.33333333333333,84.33333333333334,25.333333333333336,26.666666666666668,92.0,52.666666666666664,45.33333333333333,94.33333333333334,57.666666666666664,45.33333333333333,92.66666666666666,7.333333333333333
933,Center Forward,28559,Enner Remberto Valencia Lastra,West Ham United,40,946,45.0,60.333333333333336,54.666666666666664,24.333333333333336,37.0,27.666666666666668,82.66666666666667,84.0,26.666666666666668,27.0,60.66666666666667,26.666666666666668,66.0,95.0,76.66666666666667,96.0,81.33333333333333
935,Center Forward,30289,Papiss Demba Cissé,Newcastle United,37,1319,19.333333333333332,28.999999999999996,16.333333333333332,22.0,17.333333333333336,98.66666666666667,66.0,6.666666666666667,26.666666666666668,30.0,1.3333333333333335,7.333333333333333,2.666666666666667,7.333333333333333,62.66666666666667,42.66666666666667,32.0
950,Center Forward,42699,Gabriel Imuetinyan Agbonlahor,Aston Villa,59,1224,1.3333333333333335,31.666666666666664,1.3333333333333335,94.0,48.333333333333336,33.33333333333333,12.666666666666668,65.33333333333333,26.666666666666668,45.666666666666664,77.33333333333333,77.66666666666666,22.0,35.0,39.33333333333333,12.0,34.0
978,Left Center Forward,3434,Stevan Jovetić,Inter Milan,238,1685,63.66666666666667,17.666666666666668,40.666666666666664,63.33333333333333,93.33333333333333,40.666666666666664,87.33333333333333,48.333333333333336,26.666666666666668,95.66666666666667,58.666666666666664,45.33333333333333,91.66666666666666,98.0,55.00000000000001,94.0,38.333333333333336
979,Left Center Forward,3477,Álvaro Borja Morata Martín,Juventus,224,1495,63.66666666666667,45.0,65.33333333333333,71.33333333333334,90.66666666666666,17.333333333333336,76.66666666666667,98.0,96.66666666666667,80.0,59.333333333333336,45.33333333333333,97.33333333333334,92.0,80.0,73.33333333333333,86.0
1000,Left Center Forward,5472,Mario Mandžukić,Juventus,224,2234,39.666666666666664,74.0,61.66666666666667,42.66666666666667,65.66666666666666,77.33333333333333,12.666666666666668,72.66666666666667,90.0,61.66666666666667,72.66666666666667,96.66666666666667,35.0,13.333333333333334,48.66666666666667,4.666666666666667,77.33333333333333
