,main_position,player_id,player_name,team,team_id,minutes_played,progressive_passes_per90,chances_created_per90,dribbles_completed_per90,pass_completion_rate,duels_won_per90,pressures_per90,goals_scored_per90,goal_assists_per90,dribble_success_rate,duel_success_rate,ball_recoveries_per90
1060,Left Center Midfield,6962,Radja Nainggolan,AS Roma,229,3088,67.70833333333334,71.875,35.41666666666667,79.16666666666666,41.14583333333333,28.645833333333332,86.45833333333334,26.041666666666668,60.9375,67.70833333333334,87.5
1061,Right Center Midfield,6963,Lorenzo Pellegrini,Sassuolo,232,1216,64.58333333333334,44.27083333333333,71.35416666666666,34.375,21.354166666666664,73.95833333333334,92.1875,12.5,45.83333333333333,5.208333333333334,43.22916666666667
1084,Left Center Midfield,7009,Édgar Osvaldo Barreto Cáceres,Sampdoria,234,2427,25.0,13.020833333333334,1.5625,69.79166666666666,82.8125,84.375,11.458333333333332,30.729166666666668,9.375,77.08333333333334,7.291666666666667
1087,Right Center Midfield,7013,Stefano Sturaro,Juventus,224,1026,19.791666666666664,53.125,23.958333333333336,29.166666666666668,69.79166666666666,82.29166666666666,54.166666666666664,12.5,9.375,34.89583333333333,34.375
1094,Left Center Midfield,7025,Marek Hamšík,Napoli,227,3538,92.70833333333334,96.875,32.8125,85.41666666666666,13.541666666666666,4.166666666666666,81.25,94.27083333333334,47.91666666666667,19.791666666666664,17.708333333333336
1103,Right Center Midfield,7035,Allan Marques Loureiro,Napoli,227,2979,38.54166666666667,67.70833333333334,82.8125,84.375,91.66666666666666,89.0625,60.9375,81.77083333333334,23.958333333333336,91.66666666666666,55.208333333333336
1111,Left Center Midfield,7046,Perparim Hetemaj,Chievo,231,2428,43.75,27.604166666666668,57.291666666666664,32.29166666666667,76.04166666666666,91.66666666666666,30.208333333333332,12.5,29.6875,47.91666666666667,89.58333333333334
1113,Right Center Midfield,7049,Lucas Nahuel Castro,Chievo,231,2990,35.9375,41.14583333333333,38.54166666666667,18.75,80.20833333333334,79.16666666666666,60.9375,30.729166666666668,14.583333333333334,55.208333333333336,66.66666666666666
1121,Right Center Midfield,7107,Danilo Cataldi,Lazio,236,1496,71.875,77.08333333333334,5.208333333333334,56.25,48.95833333333333,32.29166666666667,45.3125,88.54166666666666,9.375,90.625,57.291666666666664
1124,Right Center Midfield,7113,Simone Missiroli,Sassuolo,232,2060,53.125,26.041666666666668,26.041666666666668,28.125,63.541666666666664,61.458333333333336,54.166666666666664,12.5,15.625,45.83333333333333,40.625
