,main_position,player_id,player_name,team,team_id,minutes_played,tackle_success_rate,tackles_successful_per90,interceptions_per90,interception_success_rate,pressures_per90,chances_created_per90,pass_completion_rate,progressive_carries_per90,crosses_completed_per90,duels_won_per90,fouls_committed_per90,goals_scored_per90,goal_assists_per90
279,Right Back,7906,David Simón Rodríguez Santana,Las Palmas,208,2236,98.44357976653697,69.06614785992218,18.8715953307393,5.836575875486381,71.59533073929961,67.12062256809338,73.54085603112841,44.55252918287938,61.478599221789885,69.8443579766537,92.80155642023347,71.78988326848248,65.75875486381322
293,Right Back,8801,Iván López Mendoza,Levante UD,221,933,87.93774319066148,95.3307392996109,69.26070038910505,60.311284046692606,38.91050583657588,18.482490272373543,19.844357976653697,46.88715953307393,9.53307392996109,95.71984435797665,88.715953307393,29.18287937743191,16.731517509727624
310,Left Back,11298,José Ignacio Martínez García,Rayo Vallecano,360,2040,85.21400778210116,60.505836575875485,66.53696498054474,52.14007782101168,54.474708171206224,27.626459143968873,32.490272373540854,16.536964980544745,12.062256809338521,63.42412451361867,69.64980544747081,29.18287937743191,16.731517509727624
315,Right Back,11634,Cristiano Piccini,Real Betis,218,1495,87.54863813229572,89.49416342412452,87.54863813229572,84.04669260700389,29.571984435797667,63.22957198443579,54.08560311284047,72.37354085603113,79.37743190661479,88.52140077821011,87.7431906614786,29.18287937743191,16.731517509727624
328,Right Back,16332,Ognjen Vranješ,Sporting Gijón,1041,929,44.55252918287938,92.60700389105058,86.7704280155642,23.73540856031128,85.7976653696498,1.556420233463035,15.56420233463035,1.9455252918287937,9.53307392996109,93.57976653696498,100.0,29.18287937743191,16.731517509727624
351,Right Back,20064,Hugo Miguel Almeida Costa Lopes,Granada,1049,2153,43.57976653696498,93.57976653696498,78.40466926070039,37.93774319066148,44.74708171206226,37.35408560311284,50.0,38.13229571984436,10.700389105058365,95.3307392996109,53.89105058365759,29.18287937743191,43.57976653696498
357,Right Back,21210,Mariano Ferreira Filho,Sevilla,213,1673,69.45525291828794,81.51750972762646,82.68482490272373,56.6147859922179,21.40077821011673,89.6887159533074,17.898832684824903,54.280155642023345,98.83268482490273,76.07003891050583,72.37354085603113,29.18287937743191,75.29182879377431
366,Right Back,23800,Laureano Sanabria Ruiz,RC Deportivo La Coruña,219,1483,96.10894941634241,93.57976653696498,88.52140077821011,29.18287937743191,50.97276264591439,32.295719844357976,42.996108949416346,21.011673151750973,51.16731517509727,91.05058365758755,77.82101167315176,29.18287937743191,16.731517509727624
386,Left Back,24132,Francisco Miguel Varela Martín,Real Betis,218,934,16.147859922178988,9.53307392996109,42.217898832684824,11.673151750972762,5.252918287937743,68.48249027237354,35.019455252918284,11.089494163424124,78.40466926070039,7.198443579766536,4.669260700389105,29.18287937743191,16.731517509727624
387,Right Back,24138,Joaquín José Marín Ruiz,Rayo Vallecano,360,2044,85.60311284046692,100.0,82.68482490272373,41.245136186770424,92.21789883268482,27.626459143968873,10.894941634241246,27.237354085603112,20.038910505836576,100.0,93.96887159533074,29.18287937743191,43.57976653696498
395,Left Back,24263,Ismael López Blanco,Sporting Gijón,1041,2601,88.32684824902724,81.51750972762646,90.27237354085604,88.32684824902724,59.72762645914397,49.61089494163424,23.346303501945524,78.98832684824903,53.69649805447471,84.63035019455253,25.291828793774318,80.93385214007782,16.731517509727624
418,Left Back,26023,Juan Francisco García García,Levante UD,221,1773,93.96887159533074,44.94163424124514,87.54863813229572,92.60700389105058,1.1673151750972763,7.782101167315175,5.447470817120623,17.120622568093385,20.038910505836576,56.42023346303502,25.291828793774318,29.18287937743191,49.61089494163424
429,Left Back,26448,Javier Garrido Behovide,Las Palmas,208,1674,25.680933852140075,10.700389105058365,65.56420233463035,91.43968871595331,2.3346303501945527,13.618677042801556,95.71984435797665,29.571984435797667,30.544747081712064,15.369649805447471,16.731517509727624,29.18287937743191,49.61089494163424
432,Right Back,26633,Alberto Lora Ramos,Sporting Gijón,1041,2424,33.26848249027237,62.06225680933852,92.02334630350194,59.92217898832685,50.583657587548636,57.97665369649806,46.30350194552529,8.949416342412452,40.66147859922179,67.31517509727627,46.30350194552529,29.18287937743191,79.76653696498055
443,Left Back,26780,Guilherme Magdalena Siqueira,Valencia,207,1398,82.10116731517509,57.003891050583654,72.95719844357976,35.21400778210117,13.229571984435799,4.669260700389105,82.49027237354085,79.76653696498055,32.1011673151751,61.86770428015564,52.723735408560316,29.18287937743191,16.731517509727624
450,Left Back,27054,Roberto Lago Soto,Getafe,216,1578,97.27626459143968,74.70817120622569,79.76653696498055,54.08560311284047,35.40856031128405,46.69260700389105,81.90661478599222,12.062256809338521,23.73540856031128,73.92996108949417,68.28793774319067,29.18287937743191,79.76653696498055
463,Left Back,27241,Víctor Guillermo Álvarez Delgado,Espanyol,214,2323,82.49027237354085,51.9455252918288,45.13618677042802,22.17898832684825,45.719844357976655,37.35408560311284,10.116731517509727,13.618677042801556,16.147859922178988,60.311284046692606,70.62256809338521,65.75875486381322,59.92217898832685
468,Left Back,27335,Arthur Etienne Boka,Málaga,223,1115,25.680933852140075,12.645914396887159,69.26070038910505,36.18677042801556,7.392996108949417,21.40077821011673,56.42023346303502,59.143968871595334,34.43579766536965,12.062256809338521,60.505836575875485,29.18287937743191,16.731517509727624
473,Left Back,27347,Juan Manuel Vargas Risco,Real Betis,218,1866,6.614785992217899,2.529182879377432,69.26070038910505,33.65758754863813,0.38910505836575876,90.27237354085604,17.120622568093385,28.01556420233463,82.87937743190662,2.3346303501945527,59.143968871595334,91.63424124513618,71.40077821011673
483,Left Back,27483,Benoît Trémoulinas,Sevilla,213,2232,72.37354085603113,12.645914396887159,32.1011673151751,55.252918287937746,0.7782101167315175,60.311284046692606,37.93774319066148,54.280155642023345,81.51750972762646,8.754863813229571,3.11284046692607,29.18287937743191,84.43579766536965
504,Right Back,3052,Pablo Javier Zabaleta Girod,Manchester City,36,1125,95.71984435797665,95.71984435797665,49.221789883268485,49.221789883268485,52.918287937743195,0.9727626459143969,94.94163424124513,14.396887159533073,7.392996108949417,94.94163424124513,52.723735408560316,29.18287937743191,65.75875486381322
507,Left Back,3062,Aaron Cresswell,West Ham United,40,3493,49.0272373540856,5.447470817120623,21.78988326848249,37.35408560311284,3.8910505836575875,87.93774319066148,47.47081712062256,25.291828793774318,72.95719844357976,9.72762645914397,6.614785992217899,76.45914396887159,75.29182879377431
509,Left Back,3065,Paul Dummett,Newcastle United,37,2165,6.614785992217899,32.295719844357976,14.785992217898833,10.700389105058365,48.249027237354085,1.9455252918287937,27.626459143968873,4.669260700389105,10.700389105058365,21.98443579766537,8.171206225680933,71.78988326848248,16.731517509727624
514,Left Back,3086,Ben Davies,Tottenham Hotspur,38,1314,3.8910505836575875,15.56420233463035,9.72762645914397,44.16342412451362,47.47081712062256,86.7704280155642,51.75097276264592,52.918287937743195,75.68093385214007,19.45525291828794,54.6692607003891,29.18287937743191,87.7431906614786
526,Right Back,3205,Kyle Walker,Tottenham Hotspur,38,3093,57.58754863813229,70.42801556420234,69.26070038910505,32.295719844357976,56.809338521400775,81.90661478599222,58.36575875486382,35.21400778210117,65.1750972762646,68.09338521400778,25.291828793774318,60.311284046692606,49.61089494163424
535,Right Back,3270,Danny Simpson,Leicester City,22,2818,32.295719844357976,20.428015564202333,76.65369649805449,47.47081712062256,23.151750972762645,4.669260700389105,21.40077821011673,0.7782101167315175,2.529182879377432,17.704280155642024,29.18287937743191,29.18287937743191,16.731517509727624
550,Left Back,3306,Nathan Aké,Watford,23,1887,23.346303501945524,89.49416342412452,48.054474708171206,73.15175097276264,60.505836575875485,14.396887159533073,12.45136186770428,14.785992217898833,12.840466926070038,84.63035019455253,67.31517509727627,71.78988326848248,16.731517509727624
558,Right Back,3316,James Tomkins,West Ham United,40,2172,22.762645914396888,63.42412451361867,24.31906614785992,70.8171206225681,27.237354085603112,22.957198443579767,66.53696498054474,12.840466926070038,4.085603112840467,47.85992217898833,11.284046692607005,29.18287937743191,16.731517509727624
560,Left Back,3321,Patrick van Aanholt,Sunderland,41,3106,91.82879377431907,77.04280155642024,79.1828793774319,96.3035019455253,41.245136186770424,68.48249027237354,37.93774319066148,33.26848249027237,57.58754863813229,79.1828793774319,3.8910505836575875,95.71984435797665,79.76653696498055
564,Right Back,3329,Cédric Ricardo Alves Soares,Southampton,25,2168,77.82101167315176,85.60311284046692,39.688715953307394,97.27626459143968,62.2568093385214,83.46303501945526,8.560311284046692,36.964980544747085,93.57976653696498,89.29961089494164,23.151750972762645,29.18287937743191,65.75875486381322
568,Right Back,3340,Kyle Naughton,Swansea City,26,1788,14.785992217898833,39.688715953307394,52.14007782101168,98.44357976653697,63.42412451361867,79.37743190661479,69.64980544747081,58.754863813229576,53.69649805447471,47.47081712062256,44.94163424124514,29.18287937743191,91.24513618677042
572,Left Back,3345,Charlie Daniels,AFC Bournemouth,28,3484,11.284046692607005,24.708171206225682,7.782101167315175,73.15175097276264,24.124513618677042,77.82101167315176,77.04280155642024,86.38132295719845,72.95719844357976,29.571984435797667,0.7782101167315175,84.63035019455253,84.43579766536965
575,Right Back,3349,Michail Antonio,West Ham United,40,2170,85.99221789883269,60.505836575875485,84.04669260700389,52.918287937743195,56.42023346303502,76.65369649805449,5.058365758754864,57.97665369649806,70.8171206225681,56.42023346303502,38.52140077821012,100.0,84.43579766536965
588,Right Back,3443,Joel Ward,Crystal Palace,31,2819,63.035019455252915,49.416342412451364,63.81322957198443,62.45136186770428,53.30739299610895,27.626459143968873,41.245136186770424,34.24124513618677,35.992217898832685,53.89105058365759,65.1750972762646,80.93385214007782,38.13229571984436
