player_id,player,ultimo_equipo,ultimo_team_id,posiciones,partidos_jugados
8671,Branimir Hrgota,Borussia Mönchengladbach,185,"['Right Center Forward', 'Right Attacking Midfield', 'Right Midfield', 'Left Center Forward']",9
8676,Danny Vieira da Costa,Ingolstadt,189,"['Center Forward', 'Right Back']",19
8678,David Ángel Abraham,Eintracht Frankfurt,184,"['Left Center Back', 'Right Center Back', 'Center Back', 'Left Defensive Midfield']",31
8679,Yunus Mallı,FSV Mainz 05,177,"['Center Attacking Midfield', 'Right Center Forward', 'Right Wing', 'Left Attacking Midfield', 'Left Center Forward', 'Left Defensive Midfield', 'Right Midfield', 'Center Forward']",34
8762,Zlatko Junuzović,Werder Bremen,176,"['Left Midfield', 'Center Attacking Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Left Wing', 'Right Midfield', 'Right Center Midfield', 'Left Attacking Midfield', 'Center Forward', 'Right Defensive Midfield']",30
8804,Jonas Hofmann,Borussia Mönchengladbach,185,"['Right Wing', 'Right Midfield', 'Left Wing', 'Left Midfield', 'Right Defensive Midfield', 'Right Center Forward', 'Left Center Forward', 'Center Attacking Midfield']",15
8805,Christoph Kramer,Bayer Leverkusen,904,"['Left Defensive Midfield', 'Right Midfield', 'Right Defensive Midfield', 'Left Center Midfield', 'Right Center Back', 'Left Center Back']",28
8806,Lars Edi Stindl,Borussia Mönchengladbach,185,"['Right Defensive Midfield', 'Right Center Forward', 'Right Midfield', 'Right Center Midfield', 'Center Forward', 'Left Center Forward', 'Left Center Midfield', 'Left Defensive Midfield', 'Center Attacking Midfield', 'Right Attacking Midfield']",30
8807,Raúl Marcelo Bobadilla,Augsburg,172,"['Center Forward', 'Right Wing', 'Center Attacking Midfield', 'Left Center Forward', 'Right Center Forward', 'Left Wing', 'Right Midfield']",27
8808,Matthias Ginter,Borussia Dortmund,180,"['Right Back', 'Center Defensive Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Center Attacking Midfield', 'Right Center Back', 'Center Back', 'Right Wing Back', 'Left Back', 'Left Center Back']",24
8809,Oscar Wendt,Borussia Mönchengladbach,185,"['Left Back', 'Left Midfield', 'Left Wing Back', 'Left Center Midfield', 'Left Defensive Midfield', 'Left Center Back']",30
8810,Raffael Caetano de Araújo,Borussia Mönchengladbach,185,"['Right Center Forward', 'Left Center Forward', 'Left Defensive Midfield', 'Left Midfield', 'Left Attacking Midfield', 'Right Center Midfield', 'Center Attacking Midfield', 'Center Forward', 'Left Center Midfield', 'Left Wing', 'Right Wing', 'Right Attacking Midfield']",31
8812,Marco Russ,Eintracht Frankfurt,184,"['Right Defensive Midfield', 'Center Defensive Midfield', 'Left Center Back', 'Right Center Back', 'Left Defensive Midfield']",28
8813,Patrick Herrmann,Borussia Mönchengladbach,185,"['Right Midfield', 'Left Midfield', 'Left Wing', 'Right Center Forward', 'Right Wing Back', 'Right Wing', 'Left Wing Back', 'Left Center Forward']",18
8814,Nico Elvedi,Borussia Mönchengladbach,185,"['Right Back', 'Left Back', 'Right Center Back', 'Left Center Back', 'Right Wing Back']",21
8815,Jannik Vestergaard,Werder Bremen,176,"['Left Center Back', 'Right Center Back', 'Center Defensive Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Back']",33
8816,Julian Weigl,Borussia Dortmund,180,"['Left Defensive Midfield', 'Right Center Midfield', 'Center Defensive Midfield', 'Right Defensive Midfield', 'Left Center Midfield']",30
8817,Jhon Andrés Córdoba Copete,FSV Mainz 05,177,"['Center Forward', 'Right Center Forward', 'Left Center Forward']",22
8821,Timo Horn,FC Köln,186,['Goalkeeper'],33
8822,Simon Zoller,FC Köln,186,"['Right Midfield', 'Left Center Forward', 'Right Center Forward', 'Left Midfield', 'Right Wing', 'Right Center Midfield', 'Right Back', 'Center Forward', 'Center Attacking Midfield', 'Left Wing Back', 'Right Attacking Midfield', 'Left Wing']",24
8823,Marcel Risse,FC Köln,186,"['Right Midfield', 'Right Back', 'Right Wing', 'Right Center Midfield', 'Right Wing Back', 'Left Center Forward', 'Left Wing']",33
8824,Marco Höger,Schalke 04,181,"['Left Defensive Midfield', 'Right Defensive Midfield', 'Left Center Midfield', 'Right Center Midfield']",5
8825,Miloš Jojić,FC Köln,186,"['Right Center Midfield', 'Center Attacking Midfield', 'Left Center Midfield', 'Right Midfield', 'Left Defensive Midfield', 'Right Wing', 'Right Defensive Midfield', 'Left Wing', 'Left Midfield']",15
8826,Leonardo Bittencourt,FC Köln,186,"['Left Midfield', 'Left Center Midfield', 'Center Attacking Midfield', 'Left Wing', 'Right Midfield', 'Right Wing', 'Left Center Forward', 'Right Attacking Midfield', 'Left Attacking Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Right Center Midfield', 'Right Center Forward']",29
8827,Matthias Lehmann,FC Köln,186,"['Center Defensive Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Right Center Midfield']",32
8828,Dominique Heintz,FC Köln,186,"['Left Center Back', 'Left Back']",33
8829,Frederik Hillesborg Sørensen,FC Köln,186,"['Right Center Back', 'Center Back', 'Right Back', 'Right Wing Back']",22
8831,Lukas Klünter,FC Köln,186,['Right Midfield'],1
8883,Johannes van den Bergh,Hertha Berlin,173,"['Left Wing', 'Left Midfield', 'Right Wing', 'Center Forward', 'Center Attacking Midfield']",13
8890,Christoph Moritz,FSV Mainz 05,177,"['Left Defensive Midfield', 'Center Attacking Midfield', 'Right Wing', 'Left Center Midfield']",8
8891,Lewis Harry Holtby,Hamburger SV,171,"['Left Center Midfield', 'Left Defensive Midfield', 'Left Midfield', 'Center Attacking Midfield', 'Right Midfield', 'Center Defensive Midfield', 'Right Defensive Midfield', 'Right Wing', 'Left Wing']",34
8893,David Kinsombi,Eintracht Frankfurt,184,"['Right Center Back', 'Center Back']",1
8895,Pierre-Michel Lasogga,Hamburger SV,171,"['Left Center Forward', 'Center Forward', 'Right Center Forward', 'Left Defensive Midfield', 'Center Attacking Midfield', 'Left Wing']",30
8900,Mërgim Mavraj,FC Köln,186,"['Left Center Back', 'Center Back', 'Right Center Back']",11
8918,Roberto Hilbert,Bayer Leverkusen,904,['Right Back'],12
8943,Florian Niederlechner,FSV Mainz 05,177,"['Center Forward', 'Left Center Forward', 'Left Defensive Midfield', 'Center Attacking Midfield']",12
8947,Ron-Robert Zieler,Hannover 96,178,['Goalkeeper'],34
8956,Timo Baumgartl,VfB Stuttgart,174,"['Right Center Back', 'Center Back', 'Left Center Back', 'Left Center Midfield']",19
8958,Dennis Aogo,Schalke 04,181,"['Left Back', 'Left Defensive Midfield', 'Left Center Back', 'Left Wing Back']",23
8959,Christian Gentner,VfB Stuttgart,174,"['Left Defensive Midfield', 'Right Defensive Midfield', 'Right Center Midfield', 'Center Defensive Midfield', 'Left Center Midfield', 'Center Attacking Midfield']",29
8965,Fabian Lustenberger,Hertha Berlin,173,"['Left Center Back', 'Center Back', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Right Center Back']",30
8969,Lars Bender,Bayer Leverkusen,904,"['Right Defensive Midfield', 'Left Defensive Midfield', 'Right Back', 'Right Center Back']",11
9082,Przemysław Tytoń,VfB Stuttgart,174,['Goalkeeper'],30
9088,Danilo Teodoro Soares,Ingolstadt,189,['Left Back'],1
9091,Miloš Pantović,Bayern Munich,169,['Left Center Midfield'],1
9097,Sidney Sam,Schalke 04,181,"['Center Attacking Midfield', 'Left Center Midfield']",2
9098,Christian Clemens,FSV Mainz 05,177,"['Right Wing', 'Right Wing Back', 'Right Midfield', 'Left Wing', 'Right Attacking Midfield', 'Center Attacking Midfield']",28
9103,Lukas Hinterseer,Ingolstadt,189,"['Center Forward', 'Left Midfield', 'Right Wing', 'Right Center Forward', 'Left Center Forward', 'Left Wing']",28
9106,Marvin Matip,Ingolstadt,189,"['Right Center Back', 'Left Center Back']",33
9113,Dario Lezcano,Ingolstadt,189,"['Center Forward', 'Right Wing', 'Left Wing', 'Left Center Forward']",17
