player_id,player,ultimo_equipo,ultimo_team_id,posiciones,partidos_jugados
3626,Ben Watson,Watford,23,"['Left Center Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Right Center Midfield', 'Center Defensive Midfield']",35
3629,Sadio Mané,Southampton,25,"['Center Attacking Midfield', 'Left Wing', 'Left Center Forward', 'Right Wing', 'Right Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Right Attacking Midfield', 'Center Forward', 'Left Attacking Midfield', 'Right Center Forward']",37
3631,Nathan Dyer,Leicester City,22,"['Right Wing', 'Right Center Forward', 'Right Midfield', 'Left Midfield', 'Center Attacking Midfield']",13
3633,Gareth Barry,Everton,29,"['Left Defensive Midfield', 'Left Back', 'Center Defensive Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Right Defensive Midfield']",33
3635,Jordon Ibe,Liverpool,24,"['Right Wing', 'Left Wing', 'Right Wing Back', 'Left Attacking Midfield', 'Center Attacking Midfield', 'Left Midfield', 'Right Midfield', 'Left Center Midfield']",27
3636,Charlie Adam,Stoke City,30,"['Center Attacking Midfield', 'Left Wing', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Right Wing']",22
3643,Phil Bardsley,Stoke City,30,"['Right Back', 'Right Center Back']",11
3644,Ashley Williams,Swansea City,26,"['Left Center Back', 'Right Center Back']",36
3645,Gary Cahill,Chelsea,33,"['Right Center Back', 'Left Center Back']",23
3646,Marc Pugh,AFC Bournemouth,28,"['Left Midfield', 'Left Center Forward', 'Right Midfield']",26
3647,Alex Iwobi,Arsenal,1,"['Right Wing', 'Left Wing', 'Center Forward', 'Center Attacking Midfield', 'Left Defensive Midfield']",12
3649,Karl Darlow,Newcastle United,37,['Goalkeeper'],9
3650,Daryl Janmaat,Newcastle United,37,"['Right Back', 'Right Wing Back']",32
3651,Matt Targett,Southampton,25,"['Left Back', 'Left Wing Back', 'Left Wing']",14
3652,Tom Davies,Everton,29,"['Center Defensive Midfield', 'Center Attacking Midfield', 'Right Defensive Midfield']",2
3654,Daniel William John Ings,Liverpool,24,"['Right Attacking Midfield', 'Left Wing', 'Left Center Forward', 'Center Forward', 'Right Center Forward', 'Right Wing']",6
3656,Alex Pritchard,West Bromwich Albion,27,"['Center Attacking Midfield', 'Right Midfield', 'Left Midfield', 'Left Wing', 'Right Wing']",3
3658,DeAndre Yedlin,Sunderland,41,"['Right Back', 'Right Wing Back']",23
3659,Wilfredo Daniel Caballero,Manchester City,36,['Goalkeeper'],4
3662,Danny Drinkwater,Leicester City,22,"['Left Center Midfield', 'Left Defensive Midfield', 'Right Center Midfield', 'Right Defensive Midfield']",35
